patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1obb1c_1,1,disorder,none,2.12E-08,2.46E-08,2.72E-08,3.02E-08,4.03E-08,7.04E-08,1.14E-07,1.40E-07,1.33E-07,1.12E-07,1.13E-07,1.52E-07,2.26E-07,3.18E-07,3.96E-07,4.56E-07,6.20E-07,1.09E-06,1.84E-06,2.56E-06,3.04E-06,3.44E-06,3.97E-06,4.90E-06,6.50E-06,8.26E-06,9.01E-06,8.56E-06,8.25E-06,1.01E-05,1.55E-05,2.45E-05,3.55E-05,4.59E-05,5.28E-05,5.56E-05,5.91E-05,6.76E-05,7.95E-05,9.45E-05,0.000120607,0.000163451,0.000210719,0.000240854,0.000245653,0.000234585,0.00022314,0.000222291,0.000230577,0.000236224,0.00023226,0.000224459,0.000223619,0.000234524,0.000253184,0.000274494,0.000299083,0.000332413,0.000376377,0.000422591,0.000461354,0.000490899,0.000517924,0.000557325,0.00062425,0.000723613,0.000853398,0.001006675,0.001162534,0.001284598,0.001334157,0.001289418,0.001162409,0.000991543,0.000816729,0.000666845,0.000553479,0.000469194,0.00040065,0.000342085,0.000294523,0.000258412,0.000230949,0.000208619,0.000189656,0.000172847,0.000155468
ch1obb1b_1,1,disorder,none,1.12E-08,1.57E-08,2.37E-08,3.78E-08,6.16E-08,9.64E-08,1.33E-07,1.53E-07,1.50E-07,1.34E-07,1.24E-07,1.39E-07,1.89E-07,2.71E-07,3.73E-07,5.13E-07,7.08E-07,9.73E-07,1.44E-06,2.29E-06,3.46E-06,4.66E-06,5.63E-06,6.20E-06,6.26E-06,5.80E-06,5.36E-06,5.72E-06,7.38E-06,1.05E-05,1.50E-05,2.05E-05,2.94E-05,4.80E-05,7.90E-05,0.000111758,0.000132011,0.000138662,0.000142385,0.000151028,0.000165435,0.000185106,0.000213666,0.000256627,0.000304802,0.000331496,0.000321539,0.000289523,0.000263733,0.000259571,0.00027087,0.000284973,0.000297631,0.000312683,0.000335035,0.000362866,0.000389795,0.000418875,0.000457093,0.000501624,0.000550984,0.000621746,0.000742899,0.000918793,0.001106706,0.001247916,0.001306073,0.001282295,0.001210128,0.001131505,0.001067185,0.001005836,0.00092708,0.000829598,0.000728432,0.000635181,0.000550465,0.000472149,0.000403845,0.000350487,0.000309875,0.000276266,0.000248667,0.000229707,0.000218393,0.000207365,0.000188328
ch1obb1a_1,1,disorder,none,5.96E-08,7.19E-08,7.02E-08,6.71E-08,7.20E-08,8.16E-08,8.87E-08,8.89E-08,8.64E-08,9.79E-08,1.37E-07,1.95E-07,2.58E-07,3.34E-07,4.20E-07,4.90E-07,5.50E-07,6.38E-07,7.70E-07,9.74E-07,1.31E-06,1.82E-06,2.49E-06,3.29E-06,4.09E-06,4.72E-06,5.15E-06,5.47E-06,5.90E-06,7.21E-06,1.11E-05,1.93E-05,3.12E-05,4.29E-05,5.24E-05,6.22E-05,7.49E-05,9.17E-05,0.000115007,0.000147778,0.000189697,0.000240426,0.000297216,0.000346151,0.000373255,0.000384819,0.000399613,0.000420608,0.000428814,0.000412549,0.000388727,0.000380045,0.00038346,0.000386585,0.000403218,0.000457304,0.000544238,0.000638708,0.000723452,0.000788842,0.000825918,0.000842925,0.000876732,0.000964937,0.001106214,0.001260149,0.001387751,0.001474559,0.001504819,0.001453839,0.001321724,0.001143948,0.000966019,0.000815467,0.000693966,0.000593595,0.000511872,0.000449036,0.000402836,0.000368769,0.000341324,0.000316591,0.000294919,0.000277609,0.000261559,0.000241613,0.000215815
ch1lean3d_1,1,health,none,1.10E-05,1.13E-05,1.29E-05,1.81E-05,2.63E-05,3.33E-05,3.66E-05,3.62E-05,3.40E-05,3.39E-05,4.01E-05,5.61E-05,8.08E-05,0.000102437,0.000109351,0.000105789,0.000106844,0.000128178,0.000183879,0.000287645,0.000429175,0.000538815,0.000537975,0.000439393,0.000342063,0.000331732,0.000412618,0.000523739,0.000611924,0.000676582,0.000727525,0.000741989,0.000707204,0.000664597,0.000668813,0.000734737,0.00083856,0.00093939,0.000999406,0.001011378,0.001012728,0.001035913,0.001048936,0.00100235,0.000906561,0.000816661,0.000769498,0.00075615,0.000749419,0.000732352,0.000691404,0.000621109,0.000541628,0.000479043,0.000436463,0.000402603,0.000371431,0.000344876,0.00032913,0.000328194,0.000337135,0.000347,0.000360051,0.000390975,0.000454079,0.000552155,0.000659228,0.000725075,0.00072075,0.00066236,0.000583961,0.000507831,0.000441997,0.000389761,0.000353509,0.000332414,0.000321163,0.000312955,0.000304662,0.000297309,0.000290109,0.000278179,0.000257645,0.000229072,0.000196117,0.000162307,0.000129033
ch1lean3c_1,1,health,none,2.53E-05,2.51E-05,2.54E-05,2.84E-05,3.71E-05,5.01E-05,6.00E-05,6.77E-05,8.71E-05,0.000123333,0.000162367,0.000194959,0.000223096,0.000243989,0.000256278,0.00026466,0.000271804,0.000295462,0.000360922,0.000453892,0.000544803,0.000642343,0.000759708,0.000883812,0.001009993,0.001149221,0.001280243,0.001359011,0.001388807,0.001401035,0.001398873,0.001384096,0.001392568,0.001471994,0.001623959,0.001752271,0.001719743,0.00149879,0.001201066,0.000947363,0.000782358,0.000708272,0.000718612,0.000789359,0.000870975,0.000904103,0.000862871,0.000779125,0.000715532,0.000716116,0.000763314,0.000790271,0.000761633,0.000704453,0.000649106,0.000594192,0.000538126,0.000495137,0.000468407,0.000445968,0.000424728,0.00041624,0.000428872,0.000452575,0.000469741,0.000475367,0.000472395,0.000457237,0.000423637,0.00037504,0.000325711,0.000289072,0.000269074,0.000261935,0.000260983,0.000261364,0.000260534,0.000255309,0.000244271,0.000230679,0.000217967,0.000205955,0.000193166,0.000178571,0.000161102,0.000140272,0.000116928
ch1lean3b_1,1,health,none,2.39E-06,3.87E-06,4.65E-06,4.98E-06,6.20E-06,8.64E-06,1.08E-05,1.19E-05,1.41E-05,2.18E-05,3.68E-05,5.82E-05,8.49E-05,0.000111566,0.000126916,0.0001286,0.000129606,0.000146011,0.000188308,0.000260744,0.000349437,0.000414681,0.000419098,0.000368994,0.000308251,0.00027164,0.000271805,0.000315407,0.000389576,0.000448257,0.000455437,0.000419783,0.000373565,0.000359183,0.000424184,0.000565769,0.000700476,0.000762251,0.000775253,0.000775372,0.000756066,0.000731233,0.000758611,0.000850828,0.000942181,0.000978914,0.000957052,0.000887262,0.000803911,0.000763504,0.000777545,0.00079018,0.000754632,0.000680105,0.000594313,0.000509581,0.000432003,0.000376236,0.000354493,0.00036113,0.000383755,0.000413363,0.0004372,0.00044627,0.000450483,0.000465232,0.000488328,0.000507735,0.000521531,0.000530964,0.000523927,0.00048719,0.000430034,0.000376528,0.000339992,0.000317511,0.000301322,0.000286237,0.000270422,0.000255762,0.000246197,0.000240721,0.000230814,0.000208959,0.000176545,0.00014104,0.000108404
ch1lean3a_1,1,health,none,7.95E-06,8.42E-06,8.86E-06,9.87E-06,1.18E-05,1.55E-05,2.08E-05,2.64E-05,3.17E-05,3.77E-05,4.53E-05,5.62E-05,7.20E-05,9.46E-05,0.000124273,0.000153556,0.000181638,0.000224528,0.000281044,0.000312302,0.000292748,0.00025126,0.00023941,0.000273941,0.000327956,0.000379839,0.000435348,0.000513148,0.000625991,0.000745661,0.000808037,0.000775733,0.000683619,0.00060844,0.000599772,0.000657666,0.000751233,0.000849307,0.000956854,0.001092302,0.00122072,0.001255807,0.00114701,0.000945373,0.000763591,0.000679928,0.000683045,0.000702554,0.000698038,0.000694922,0.000715257,0.000733611,0.000727487,0.000703107,0.000670913,0.000634517,0.000598921,0.000570298,0.000546578,0.000521301,0.000491062,0.000457515,0.000429024,0.000419937,0.000439621,0.000479086,0.000514021,0.000522659,0.000499213,0.000452722,0.000398759,0.000350494,0.000313482,0.000289747,0.000280813,0.000281839,0.000281242,0.000273137,0.000262635,0.000256523,0.000255746,0.000254819,0.00024616,0.000225796,0.000195482,0.000160619,0.000126125
ch1lean2d_1,1,health,none,2.98E-08,4.83E-08,6.14E-08,6.42E-08,5.89E-08,4.90E-08,3.85E-08,3.21E-08,3.18E-08,3.69E-08,5.24E-08,8.84E-08,1.40E-07,1.81E-07,2.00E-07,2.24E-07,2.75E-07,3.20E-07,3.18E-07,3.00E-07,3.42E-07,4.88E-07,7.25E-07,9.95E-07,1.31E-06,1.88E-06,2.97E-06,4.77E-06,7.63E-06,1.30E-05,2.40E-05,4.31E-05,6.99E-05,0.000102177,0.000131528,0.000145467,0.000143746,0.00013927,0.000140445,0.000145,0.000151771,0.000166082,0.000188294,0.000211247,0.000233353,0.000257873,0.000282555,0.000301268,0.000307974,0.000299058,0.000281056,0.000269689,0.000278169,0.000309603,0.000353934,0.000399098,0.000447817,0.000506495,0.000570309,0.000635277,0.000707231,0.000785797,0.000853268,0.000892879,0.000908941,0.000916318,0.000921076,0.000924181,0.00093165,0.000950286,0.000980222,0.001017247,0.001053642,0.001076723,0.00107655,0.001052099,0.001010129,0.000962761,0.000921365,0.000890337,0.000867265,0.000846784,0.000823918,0.000795503,0.000758993,0.000713254,0.000660507
ch1lean2c_1,1,health,none,6.70E-08,8.46E-08,1.37E-07,1.86E-07,1.94E-07,1.67E-07,1.40E-07,1.44E-07,1.77E-07,2.10E-07,2.22E-07,2.12E-07,1.89E-07,1.79E-07,2.14E-07,3.26E-07,5.18E-07,7.55E-07,9.63E-07,1.09E-06,1.15E-06,1.30E-06,1.65E-06,2.20E-06,2.81E-06,3.50E-06,4.54E-06,6.29E-06,9.24E-06,1.41E-05,2.18E-05,3.44E-05,5.65E-05,9.20E-05,0.000137592,0.000183569,0.000224496,0.000260108,0.000281799,0.00027516,0.000243346,0.000209538,0.000193952,0.000204813,0.000243692,0.000298464,0.000343341,0.00036051,0.000353251,0.000337457,0.000324194,0.000313261,0.000309016,0.000327333,0.000376227,0.000443183,0.000505825,0.000551329,0.000584812,0.000619945,0.00066549,0.000723018,0.000793997,0.000875644,0.000958433,0.001040551,0.001123822,0.001197269,0.001249059,0.001283638,0.001309596,0.001324715,0.001325726,0.001325412,0.001343746,0.001375771,0.001386443,0.001350309,0.001279683,0.001209132,0.001163343,0.00113538,0.001099648,0.001046731,0.000985504,0.000919514,0.000840888
ch1lean2b_1,1,health,none,1.41E-08,1.80E-08,2.39E-08,3.29E-08,4.73E-08,6.79E-08,9.67E-08,1.33E-07,1.61E-07,1.62E-07,1.39E-07,1.21E-07,1.36E-07,1.90E-07,2.54E-07,2.96E-07,3.22E-07,3.59E-07,4.51E-07,6.71E-07,1.00E-06,1.30E-06,1.54E-06,1.80E-06,2.15E-06,2.66E-06,3.59E-06,5.25E-06,7.68E-06,1.13E-05,1.76E-05,2.86E-05,4.72E-05,7.95E-05,0.000130689,0.000193815,0.000249987,0.000284643,0.000298196,0.000298744,0.000292093,0.000282138,0.000274433,0.000273879,0.000279515,0.000288026,0.000303408,0.000331908,0.000365818,0.000385405,0.00038197,0.000367312,0.000357037,0.000354952,0.00036497,0.000403651,0.000479084,0.000569271,0.000639957,0.000687348,0.000745901,0.000840249,0.000947446,0.001024545,0.001060694,0.001083274,0.001124693,0.001197507,0.001293029,0.001397457,0.001502571,0.001592914,0.001642702,0.001647797,0.001641032,0.001656922,0.001697503,0.00174006,0.001765387,0.001776007,0.001778021,0.001757471,0.001696629,0.001598234,0.001482746,0.001364838,0.0012362
