patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ctlvi1od(1)_2,2,health,none,0.001170988,0.001285652,0.001213375,0.001017466,0.000879884,0.001101908,0.002004837,0.003344193,0.004175491,0.003913332,0.002941999,0.001982494,0.001418401
ctlvi1od(1)_1,1,health,none,0.000772987,0.000859373,0.000922399,0.000985241,0.001112829,0.001558839,0.002655881,0.004065095,0.004738966,0.004203833,0.003042867,0.002016422,0.001424728
ctlv3oi_2,2,health,none,0.005701602,0.006547196,0.009193008,0.01547631,0.02427659,0.029702888,0.027667204,0.020703759,0.013718606,0.009014623,0.006347922,0.004973567,0.004771425
ctlv3oi_1,1,health,none,0.009573479,0.010984546,0.013939885,0.019849344,0.027111739,0.030320091,0.026705507,0.019265399,0.012437363,0.00822228,0.006260381,0.005500423,0.005527508
ctlv3oi(1)_2,2,health,none,0.007976497,0.006448596,0.00536933,0.004867335,0.004698184,0.005272354,0.008202224,0.013850839,0.018671203,0.018785984,0.014703463,0.009653608,0.005808326
ctlv3oi(1)_1,1,health,none,0.007273717,0.007185641,0.006550289,0.005680276,0.005039128,0.005415694,0.008604587,0.015743428,0.023371526,0.025603544,0.021228875,0.014198349,0.008408635
ctlv3od_2,2,health,none,0.001469039,0.00201784,0.004110439,0.009910082,0.018685472,0.024622983,0.023324677,0.016933602,0.01025282,0.005791223,0.00346921,0.002477923,0.002510977
ctlv3od_1,1,health,none,0.002009315,0.002319086,0.004751745,0.011410914,0.020544689,0.025796849,0.023571212,0.016748503,0.010034314,0.005655598,0.003445064,0.002590244,0.002817536
ctlv3od(1)_2,2,health,none,0.00383323,0.003111335,0.002616935,0.002401345,0.002437954,0.003575172,0.00793076,0.01570029,0.022112341,0.02231084,0.017159576,0.010864169,0.006176225
ctlv3od(1)_1,1,health,none,0.003418947,0.003472838,0.003293336,0.003013389,0.002876198,0.003672516,0.007488136,0.015729133,0.024611979,0.027493217,0.022891644,0.015179883,0.008756798
ctlv2oi_2,2,health,none,0.000272401,0.000309021,0.000305693,0.000270695,0.000229733,0.000199067,0.000179307,0.000163816,0.000147747,0.000132204,0.000132115,0.000223984,0.000639369
ctlv2oi_1,1,health,none,0.001013544,0.000974873,0.000895895,0.000807869,0.000727844,0.000649573,0.000573063,0.000504431,0.000444641,0.000399281,0.000396487,0.000520841,0.000990385
ctlv2oi(1)_2,2,health,none,0.000202517,0.0002652,0.00033506,0.000390157,0.000419248,0.000423707,0.000408115,0.000385526,0.000384122,0.000439789,0.000611344,0.001176697,0.003016147
ctlv2oi(1)_1,1,health,none,0.000173389,0.000229655,0.000317917,0.000386206,0.000400538,0.000376482,0.000351973,0.000359676,0.000419795,0.000524494,0.000667843,0.001124667,0.002881738
ctlv2od_2,2,health,none,0.000816132,0.000951182,0.000959426,0.000864962,0.000757262,0.000691581,0.000659237,0.0006255,0.000569384,0.00050078,0.000487293,0.000819036,0.002336131
ctlv2od_1,1,health,none,0.00095298,0.001145856,0.001212441,0.001150937,0.001016896,0.000864708,0.000717798,0.00059001,0.000504892,0.000482866,0.000561141,0.000958964,0.002409355
ctlv2od(1)_2,2,health,none,0.000876498,0.001074934,0.001263252,0.001381699,0.001411224,0.001374377,0.001294261,0.001200813,0.001145843,0.001185912,0.001408871,0.002212234,0.004861761
ctlv2od(1)_1,1,health,none,0.000832078,0.000963149,0.001203887,0.001393479,0.001409721,0.001300116,0.001191823,0.001159881,0.001219423,0.001342593,0.001495449,0.002041469,0.004353133
ctlv1oi_2,2,health,none,6.09E-05,8.36E-05,0.000107336,0.00011937,0.000115085,0.000101574,8.94E-05,8.52E-05,8.97E-05,9.80E-05,0.000102737,9.84E-05,8.53E-05
