patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
controlc573months4oiesco_3,3,health,none,0.000115642,0.000142831,0.000151247,0.000154928,0.000165581,0.000179184,0.000190907,0.000214683,0.000295808,0.000541819,0.001069513,0.001723964,0.002060402
controlc573months4oiesco_2,2,health,none,8.90E-05,0.000111375,0.000130123,0.000143681,0.000151663,0.000152464,0.000147178,0.000150172,0.000210455,0.000468695,0.001099749,0.001934606,0.002396582
controlc573months4oiesco_1,1,health,none,5.70E-05,7.44E-05,9.54E-05,0.000109288,0.000112014,0.000117538,0.000142885,0.000186956,0.000248053,0.000398731,0.00081471,0.001506384,0.002059029
controlc573months2odesco_5,5,health,none,3.19E-05,8.38E-05,0.000192701,0.000332874,0.000430632,0.00043927,0.000381505,0.000306441,0.00024092,0.000189302,0.000151255,0.000128717,0.000135684
controlc573months2odesco_4,4,health,none,4.72E-05,9.38E-05,0.000177298,0.000291508,0.000402455,0.000467742,0.000456573,0.000374499,0.000266817,0.000180057,0.000130063,0.00011069,0.000126683
controlc573months2odesco_3,3,health,none,0.000238895,0.000244827,0.000253453,0.000316309,0.000402283,0.000436502,0.00040089,0.000359135,0.00038901,0.000477402,0.000522314,0.000468466,0.000378072
controlc573months2odesco_2,2,health,none,2.86E-05,7.71E-05,0.00019256,0.00036848,0.000519465,0.000553677,0.000470711,0.000344364,0.000237056,0.00016478,0.000120507,9.79E-05,0.000100166
controlc573months2odesco_1,1,health,none,3.05E-05,8.01E-05,0.000189114,0.000345162,0.000483214,0.000536001,0.000487409,0.000376162,0.000258693,0.000169964,0.000116067,9.12E-05,9.77E-05
controlc573months5oiesco_5,5,health,none,7.57E-05,8.83E-05,0.000104851,0.000143204,0.000214631,0.000300054,0.000364877,0.00039692,0.000407418,0.00040463,0.00039057,0.000379469,0.000387637
controlc573months5oiesco_4,4,health,none,3.99E-05,5.10E-05,7.72E-05,0.000125246,0.00019201,0.000277151,0.000365962,0.000413635,0.000393203,0.000329454,0.000267742,0.000247567,0.000288215
controlc573months5oiesco_3,3,health,none,0.000314164,0.000281773,0.000208711,0.000150785,0.000137465,0.000169731,0.000236852,0.000341428,0.00048695,0.000616615,0.000640335,0.000551448,0.000436999
controlc573months5oiesco_2,2,health,none,7.80E-05,8.45E-05,9.01E-05,0.000105681,0.000145986,0.000217208,0.000300678,0.00035889,0.000365578,0.000323694,0.000261356,0.000218292,0.000222728
envejecidosc5720months_2lignedebase0-500hz1_3,3,disorder,none,6.67E-10,5.40E-10,4.52E-10,4.05E-10,4.07E-10,4.48E-10,4.90E-10,4.84E-10,4.22E-10,3.32E-10,2.47E-10,1.86E-10,1.56E-10
envejecidosc5720months_2lignedebase0-500hz1_2,2,disorder,none,3.36E-11,5.09E-11,8.23E-11,1.37E-10,2.08E-10,2.62E-10,2.65E-10,2.23E-10,1.66E-10,1.18E-10,8.77E-11,7.25E-11,6.85E-11
envejecidosc5720months_2lignedebase0-500hz1_1,1,disorder,none,5.81E-10,4.74E-10,3.98E-10,3.54E-10,3.44E-10,3.63E-10,3.83E-10,3.69E-10,3.18E-10,2.51E-10,1.90E-10,1.45E-10,1.20E-10
envejecidosc5720months_1lignedebase0-500hz1_4,4,disorder,none,1.79E-10,1.34E-10,8.81E-11,5.57E-11,4.00E-11,3.79E-11,4.35E-11,5.09E-11,5.65E-11,6.07E-11,6.39E-11,6.34E-11,5.56E-11
envejecidosc5720months_1lignedebase0-500hz1_3,3,disorder,none,1.03E-09,8.68E-10,6.99E-10,5.53E-10,4.44E-10,3.72E-10,3.17E-10,2.64E-10,2.16E-10,1.81E-10,1.58E-10,1.38E-10,1.14E-10
envejecidosc5720months_1lignedebase0-500hz1_2,2,disorder,none,2.07E-10,1.55E-10,1.02E-10,6.60E-11,4.79E-11,4.32E-11,4.67E-11,5.42E-11,6.99E-11,1.17E-10,2.08E-10,2.97E-10,3.15E-10
envejecidosc5720months_1lignedebase0-500hz1_1,1,disorder,none,8.86E-10,7.40E-10,5.87E-10,4.49E-10,3.44E-10,2.77E-10,2.32E-10,1.95E-10,1.71E-10,1.86E-10,2.42E-10,2.93E-10,2.94E-10
envejecidosc5720months_3lignedebase0-500hz1_4,4,disorder,none,1.34E-10,2.04E-10,2.90E-10,3.58E-10,3.91E-10,4.03E-10,4.02E-10,3.81E-10,3.38E-10,2.88E-10,2.50E-10,2.30E-10,2.16E-10
envejecidosc5720months_3lignedebase0-500hz1_3,3,disorder,none,9.49E-11,1.44E-10,2.46E-10,3.93E-10,5.26E-10,5.76E-10,5.27E-10,4.28E-10,3.36E-10,2.72E-10,2.34E-10,2.11E-10,1.97E-10
envejecidosc5720months_3lignedebase0-500hz1_2,2,disorder,none,1.31E-10,2.02E-10,2.90E-10,3.61E-10,3.95E-10,4.05E-10,4.00E-10,3.76E-10,3.31E-10,2.83E-10,2.48E-10,2.30E-10,2.17E-10
envejecidosc5720months_3lignedebase0-500hz1_1,1,disorder,none,8.92E-11,1.38E-10,2.38E-10,3.81E-10,5.07E-10,5.51E-10,5.05E-10,4.17E-10,3.33E-10,2.70E-10,2.29E-10,2.04E-10,1.88E-10
envejecidosc5720months_2lignedebase0-500hz1_4,4,disorder,none,4.28E-11,6.65E-11,1.10E-10,1.85E-10,2.79E-10,3.47E-10,3.48E-10,2.91E-10,2.17E-10,1.57E-10,1.20E-10,1.03E-10,1.02E-10
