patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1ctliv1b_1,1,week12,none,0.000206148,0.000244946,0.000277381,0.000297148,0.000328397,0.000366014,0.000381404,0.00037202,0.000354227,0.000339057,0.000328215,0.000315477,0.00029553,0.000269698,0.000245316,0.000237119,0.000263926,0.000340244,0.000480238,0.000706563,0.001034308,0.001424519,0.001776907,0.002011903,0.002130492,0.002156032,0.002069734,0.0018481,0.001537277,0.001263287,0.001160056,0.001265586,0.001505567,0.001760426,0.001891252,0.001809088,0.001581258,0.001375151,0.001286941,0.001273798,0.001238216,0.001150201,0.00106761,0.001039557,0.001044897,0.001027778,0.000967689,0.000902836,0.000862891,0.000828308,0.00078454,0.000751748,0.000749213,0.000769155,0.000784744,0.000773233,0.000737279,0.000706168,0.00071037,0.000755537,0.000817903,0.000861845,0.000866758,0.000841615,0.000808953,0.000785426,0.000779388,0.000786372,0.000791049,0.000781234,0.000754435,0.000714883,0.000666494,0.000608775,0.000541631,0.000468832,0.000395216,0.000324971,0.000261888,0.000208761,0.000166675,0.000134577,0.000109473,8.85E-05,7.07E-05,5.58E-05,4.38E-05
ch1ctliv1a_1,1,week12,none,5.07E-06,5.22E-06,4.83E-06,3.92E-06,2.90E-06,2.24E-06,2.19E-06,2.55E-06,3.05E-06,3.70E-06,4.55E-06,5.58E-06,6.74E-06,7.82E-06,9.00E-06,1.06E-05,1.22E-05,1.25E-05,1.18E-05,1.17E-05,1.42E-05,2.01E-05,2.87E-05,3.98E-05,5.47E-05,7.48E-05,9.78E-05,0.00011706,0.000131197,0.000147314,0.000173153,0.000208612,0.000243173,0.000266404,0.00028106,0.000297784,0.000321318,0.000352416,0.000388869,0.000412765,0.000402396,0.000363948,0.000330404,0.000332835,0.000379854,0.000454859,0.000528328,0.000578641,0.000606155,0.000619957,0.000625967,0.000628354,0.000623328,0.000612929,0.000618647,0.00065123,0.000692247,0.000718667,0.000720606,0.000706058,0.000693088,0.000686385,0.000678413,0.000670207,0.0006728,0.000693684,0.000728414,0.000763512,0.000786815,0.000793826,0.000782987,0.000751245,0.000696171,0.000618914,0.000526715,0.000432839,0.000350009,0.000283085,0.000229551,0.000185545,0.000149229,0.000120026,9.73E-05,8.00E-05,6.65E-05,5.55E-05,4.56E-05
ch1ctliii2c_1,1,week8,none,0.000104808,8.97E-05,6.98E-05,5.63E-05,5.01E-05,4.69E-05,4.61E-05,5.28E-05,6.85E-05,8.69E-05,0.00011561,0.000181468,0.000285071,0.000386631,0.00047286,0.000560403,0.000616156,0.000586125,0.000488011,0.000394151,0.000343581,0.000316554,0.000284805,0.000245758,0.000219054,0.000230471,0.000277207,0.000318019,0.000325049,0.000321313,0.000347847,0.000407263,0.000469378,0.000523315,0.000584372,0.000675872,0.000828076,0.001056086,0.001338593,0.001619417,0.001793317,0.001774892,0.001608871,0.001422926,0.001295886,0.001215649,0.001145135,0.001087185,0.001057437,0.001029066,0.00097088,0.000906147,0.000873001,0.000868583,0.000863656,0.000837746,0.000792829,0.000745159,0.000707833,0.000677397,0.0006387,0.000586758,0.000536285,0.000504416,0.000490088,0.000478344,0.000460005,0.00043928,0.000426165,0.000424343,0.000423691,0.000406519,0.00036612,0.000314268,0.00026544,0.000223086,0.000185438,0.000153065,0.000126964,0.000106619,9.06E-05,7.75E-05,6.68E-05,5.86E-05,5.27E-05,4.78E-05,4.23E-05
ch1ctliii2b_1,1,week8,none,3.31E-05,2.56E-05,2.06E-05,1.83E-05,2.13E-05,3.02E-05,4.17E-05,5.54E-05,7.51E-05,9.57E-05,0.000107173,0.000111092,0.000114045,0.000120202,0.000136489,0.000162021,0.000177767,0.000168854,0.000143793,0.00012201,0.000120212,0.000149934,0.000203544,0.000245757,0.000244349,0.000203907,0.000155844,0.000124438,0.000112495,0.000112159,0.000117443,0.000128922,0.000154531,0.000214051,0.000339488,0.000545019,0.000801966,0.001065044,0.001280488,0.001368906,0.001291451,0.001127207,0.001011907,0.001010937,0.001077791,0.001120491,0.001095741,0.001028025,0.000950172,0.000870917,0.000798914,0.000748103,0.00071606,0.000690819,0.000672355,0.000667674,0.000674177,0.000677873,0.000666037,0.000638321,0.000605076,0.000577095,0.000556289,0.000536897,0.000516006,0.000498307,0.000489569,0.000487126,0.000479927,0.000458558,0.000420356,0.000368146,0.00030929,0.000252812,0.00020518,0.000167565,0.00013721,0.000111992,9.19E-05,7.71E-05,6.69E-05,5.95E-05,5.30E-05,4.64E-05,4.02E-05,3.49E-05,3.03E-05
ch1ctliii2a_1,1,week8,none,3.66E-05,3.78E-05,4.03E-05,4.31E-05,4.49E-05,4.67E-05,5.33E-05,6.63E-05,7.91E-05,8.74E-05,0.000101461,0.000134629,0.000173047,0.000183254,0.000155902,0.000114105,8.74E-05,9.53E-05,0.000145706,0.00023542,0.000335706,0.000393223,0.000382114,0.000341464,0.000325498,0.000334652,0.000331989,0.000306973,0.000288333,0.00030452,0.000350789,0.000398862,0.000442439,0.000528064,0.000726555,0.001052995,0.001415934,0.001665317,0.001706673,0.001583573,0.001413998,0.001277577,0.00120645,0.001189707,0.001179071,0.00113331,0.001035491,0.000905025,0.000805408,0.000788496,0.000835396,0.000884876,0.000901046,0.000890357,0.000870258,0.000843164,0.000800968,0.000741676,0.000678194,0.000628651,0.000598458,0.000581126,0.00057396,0.000582,0.000604403,0.000624099,0.000623265,0.000604048,0.000575333,0.000535822,0.00048352,0.000423449,0.000362476,0.000305433,0.000254643,0.000210391,0.000172457,0.000140814,0.000115421,9.61E-05,8.20E-05,7.09E-05,6.10E-05,5.17E-05,4.34E-05,3.66E-05,3.08E-05
ch1ctliii1c_1,1,week8,none,5.03E-06,4.53E-06,5.09E-06,7.11E-06,1.08E-05,1.47E-05,1.73E-05,1.90E-05,2.24E-05,2.86E-05,3.45E-05,3.61E-05,3.57E-05,4.54E-05,7.35E-05,0.000108561,0.000128921,0.000126527,0.000108697,8.73E-05,7.26E-05,7.00E-05,7.78E-05,8.88E-05,9.50E-05,9.30E-05,8.52E-05,7.68E-05,7.25E-05,7.26E-05,7.40E-05,7.45E-05,7.46E-05,7.53E-05,7.50E-05,7.29E-05,7.09E-05,7.22E-05,8.01E-05,1.00E-04,0.000132648,0.000168152,0.000194695,0.000212237,0.000230352,0.000257085,0.000288811,0.000305791,0.000292198,0.000273781,0.000352229,0.00064832,0.001072294,0.001306112,0.001187948,0.000871221,0.000574082,0.000388711,0.000304354,0.000280285,0.000286043,0.000311015,0.000341999,0.000350757,0.000322563,0.000270713,0.00021723,0.000176268,0.000150809,0.000136208,0.000127081,0.000121009,0.000117924,0.000118647,0.000122111,0.00012309,0.000115893,0.000100753,8.35E-05,6.96E-05,6.07E-05,5.59E-05,5.33E-05,5.18E-05,5.09E-05,4.98E-05,4.74E-05
ch1ctliii1b_1,1,week8,none,1.17E-05,1.14E-05,9.94E-06,8.50E-06,8.84E-06,1.21E-05,1.67E-05,2.01E-05,2.12E-05,2.03E-05,1.87E-05,1.84E-05,2.10E-05,2.61E-05,3.12E-05,3.31E-05,3.22E-05,3.12E-05,3.22E-05,3.46E-05,3.79E-05,4.19E-05,4.69E-05,5.10E-05,5.15E-05,4.72E-05,4.01E-05,3.48E-05,3.40E-05,3.59E-05,3.70E-05,3.59E-05,3.35E-05,3.24E-05,3.47E-05,4.13E-05,5.25E-05,7.10E-05,0.000101737,0.000146427,0.000199375,0.000252164,0.000298876,0.00033861,0.0003743,0.000404054,0.000412241,0.000384226,0.000332788,0.000293186,0.000314887,0.000466896,0.000743583,0.000964811,0.000954472,0.000751393,0.00051554,0.000349648,0.000266754,0.000238042,0.000233352,0.000240505,0.000255316,0.000260862,0.000241108,0.000202678,0.000163895,0.000136191,0.000121041,0.000115025,0.000115396,0.000122757,0.00013884,0.000160285,0.000175735,0.000173887,0.000153812,0.000124718,9.75E-05,7.78E-05,6.59E-05,5.95E-05,5.58E-05,5.29E-05,5.02E-05,4.78E-05,4.49E-05
ch1ctliii1a_1,1,week8,none,1.02E-05,1.23E-05,2.20E-05,3.33E-05,3.93E-05,3.98E-05,3.75E-05,3.36E-05,2.93E-05,2.91E-05,3.78E-05,5.40E-05,6.76E-05,7.15E-05,7.14E-05,7.60E-05,8.36E-05,8.67E-05,8.23E-05,7.22E-05,5.95E-05,4.67E-05,3.67E-05,3.27E-05,3.77E-05,5.18E-05,6.86E-05,7.92E-05,8.23E-05,8.29E-05,8.34E-05,8.22E-05,7.89E-05,7.77E-05,8.18E-05,8.89E-05,9.71E-05,0.000108212,0.000127163,0.000165677,0.000234874,0.000327489,0.000420908,0.000493091,0.000532393,0.000535509,0.000499427,0.00042985,0.000348335,0.000282581,0.000267181,0.000345956,0.000510865,0.000648629,0.000652401,0.000543001,0.000412391,0.000320657,0.000275635,0.00026089,0.00026124,0.000274075,0.000296209,0.00030624,0.000285038,0.000242042,0.000201853,0.000177859,0.000167556,0.000165247,0.000171687,0.00019093,0.000221577,0.000253555,0.000272079,0.000265854,0.000234609,0.000189191,0.000143875,0.000108028,8.36E-05,6.82E-05,5.87E-05,5.26E-05,4.82E-05,4.40E-05,3.95E-05
ch1ctlii1a_1,1,week6,none,1.80E-06,1.42E-06,1.33E-06,1.96E-06,3.08E-06,3.98E-06,4.54E-06,5.53E-06,7.49E-06,9.64E-06,1.09E-05,1.10E-05,1.04E-05,9.68E-06,8.94E-06,8.23E-06,7.78E-06,7.97E-06,9.25E-06,1.24E-05,1.83E-05,2.59E-05,3.52E-05,4.94E-05,7.05E-05,9.95E-05,0.000138044,0.00017794,0.000199705,0.000194788,0.000181209,0.000184586,0.000209091,0.000246738,0.000296445,0.000357869,0.00042341,0.000470698,0.000475786,0.000446734,0.000426859,0.000460622,0.000559469,0.000703945,0.000856535,0.00096842,0.001018717,0.001021155,0.000989626,0.00094,0.000898801,0.000887302,0.000893767,0.000874937,0.000812685,0.000741477,0.000699923,0.000694551,0.000713269,0.000734294,0.0007298,0.00069604,0.000667694,0.000682159,0.00073751,0.000798187,0.00084265,0.000880741,0.000917167,0.000934321,0.000917646,0.000870685,0.000804119,0.00072316,0.000629705,0.000530476,0.000435906,0.000353407,0.000284378,0.000226736,0.000179522,0.000143039,0.000116275,9.65E-05,8.12E-05,6.88E-05,5.86E-05
ch2ctliv4a_1,1,week12,none,3.81E-06,4.44E-06,4.71E-06,4.51E-06,4.23E-06,4.35E-06,4.63E-06,4.71E-06,5.24E-06,7.40E-06,1.09E-05,1.35E-05,1.38E-05,1.39E-05,1.88E-05,3.08E-05,4.52E-05,5.50E-05,5.80E-05,5.73E-05,5.91E-05,6.55E-05,7.35E-05,8.34E-05,0.000102111,0.000134842,0.000183053,0.000251795,0.000337242,0.000411808,0.000454584,0.000485277,0.000543805,0.000656779,0.000839901,0.001102638,0.001386947,0.001540862,0.0014746,0.001266632,0.001041843,0.000861802,0.000741784,0.000671414,0.000617682,0.000553398,0.00048185,0.000424491,0.000392277,0.000373747,0.00035395,0.000335735,0.000328499,0.000334353,0.000360039,0.000411559,0.000464604,0.000476591,0.000435779,0.000372294,0.000320976,0.000291249,0.00027422,0.000261134,0.000248966,0.000243225,0.000261609,0.000325548,0.000437597,0.00056524,0.000654131,0.000664162,0.000596652,0.000487019,0.000373989,0.000278699,0.000205441,0.000152,0.000115535,9.25E-05,7.90E-05,7.18E-05,6.88E-05,6.81E-05,6.82E-05,6.73E-05,6.40E-05
ch2ctliv3c_1,1,week12,none,2.10E-05,1.55E-05,1.30E-05,1.35E-05,1.55E-05,1.72E-05,1.79E-05,1.71E-05,1.58E-05,1.55E-05,1.63E-05,1.72E-05,1.86E-05,2.23E-05,2.89E-05,3.51E-05,3.70E-05,3.48E-05,3.42E-05,4.03E-05,5.07E-05,5.94E-05,6.47E-05,6.99E-05,7.85E-05,9.60E-05,0.000128093,0.000165224,0.000183771,0.000179191,0.000173844,0.000188767,0.000225182,0.000267381,0.000296095,0.000308101,0.000332831,0.000444402,0.00069522,0.000975409,0.001090652,0.001001564,0.000827937,0.000687068,0.000615183,0.000582612,0.000557561,0.00055604,0.000609135,0.00069245,0.000741165,0.000733199,0.000706814,0.000718588,0.000795262,0.00089105,0.000925968,0.000876277,0.000779378,0.000676625,0.000592345,0.000539897,0.000522721,0.000537924,0.000576452,0.000618454,0.000644277,0.000649748,0.000644023,0.000638635,0.000642027,0.000652817,0.000653152,0.000620692,0.000550576,0.000458187,0.000363716,0.000281149,0.000215785,0.000166018,0.000128376,0.000100521,8.04E-05,6.58E-05,5.46E-05,4.60E-05,3.89E-05
ch2ctliv3b_1,1,week12,none,2.65E-05,3.62E-05,5.04E-05,6.28E-05,6.61E-05,6.38E-05,6.74E-05,8.02E-05,9.09E-05,8.86E-05,7.60E-05,6.41E-05,5.81E-05,5.60E-05,5.51E-05,5.46E-05,5.45E-05,5.43E-05,5.57E-05,6.35E-05,7.75E-05,8.92E-05,9.44E-05,9.93E-05,0.00010935,0.000120719,0.000128723,0.000135653,0.000149896,0.000179967,0.000224512,0.000273555,0.000321988,0.000366589,0.000395961,0.000396531,0.000379053,0.000403839,0.000550755,0.000803973,0.001009594,0.00104582,0.000949161,0.000825243,0.000746603,0.00073791,0.000776605,0.00081904,0.000847285,0.000861753,0.000852894,0.000810733,0.00073965,0.000664962,0.000620602,0.000610274,0.000605171,0.000587051,0.000562069,0.00054089,0.000529351,0.000529101,0.000538222,0.000558946,0.000594909,0.000633361,0.000655317,0.000663355,0.000677079,0.00070606,0.000739535,0.000757064,0.000740187,0.000682539,0.000595491,0.000498585,0.000405019,0.000320368,0.000248239,0.000190846,0.000147754,0.000116251,9.26E-05,7.38E-05,5.83E-05,4.62E-05,3.72E-05
ch2ctliv3a_1,1,week12,none,0.000111355,0.000115926,0.000129887,0.000135671,0.000135427,0.000147093,0.000172523,0.000201037,0.000240133,0.000307692,0.000381026,0.000409692,0.000386441,0.000345718,0.000315211,0.000303893,0.000310616,0.000327002,0.000339625,0.000334062,0.000305839,0.000267396,0.000233553,0.000208419,0.000192942,0.000192125,0.000206614,0.000225581,0.000237557,0.000244377,0.000262251,0.000295307,0.000317262,0.000310157,0.000291353,0.000282224,0.000287125,0.000307494,0.000354514,0.000447734,0.000580822,0.000686262,0.00069484,0.000625851,0.000560166,0.000542778,0.000552426,0.000559089,0.00057456,0.000626855,0.000709185,0.000779737,0.000807997,0.000806825,0.000807546,0.000813447,0.000800953,0.000759943,0.000711272,0.00068274,0.000678917,0.000680869,0.000670484,0.000650497,0.000634898,0.000627014,0.000625228,0.000634266,0.000654473,0.000677957,0.000702478,0.00072725,0.000733957,0.000698169,0.000616633,0.000508699,0.000398765,0.000303619,0.00022992,0.000176756,0.000139339,0.0001124,9.18E-05,7.47E-05,5.98E-05,4.73E-05,3.76E-05
