patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1ctliv1b_1,1,week12,none,0.001505567,0.001760426,0.001891252,0.001809088,0.001581258,0.001375151,0.001286941,0.001273798,0.001238216,0.001150201,0.00106761,0.001039557,0.001044897
ch1ctliv1a_1,1,week12,none,0.000243173,0.000266404,0.00028106,0.000297784,0.000321318,0.000352416,0.000388869,0.000412765,0.000402396,0.000363948,0.000330404,0.000332835,0.000379854
ch1ctliii2c_1,1,week8,none,0.000469378,0.000523315,0.000584372,0.000675872,0.000828076,0.001056086,0.001338593,0.001619417,0.001793317,0.001774892,0.001608871,0.001422926,0.001295886
ch1ctliii2b_1,1,week8,none,0.000154531,0.000214051,0.000339488,0.000545019,0.000801966,0.001065044,0.001280488,0.001368906,0.001291451,0.001127207,0.001011907,0.001010937,0.001077791
ch1ctliii2a_1,1,week8,none,0.000442439,0.000528064,0.000726555,0.001052995,0.001415934,0.001665317,0.001706673,0.001583573,0.001413998,0.001277577,0.00120645,0.001189707,0.001179071
ch1ctliii1c_1,1,week8,none,7.46E-05,7.53E-05,7.50E-05,7.29E-05,7.09E-05,7.22E-05,8.01E-05,1.00E-04,0.000132648,0.000168152,0.000194695,0.000212237,0.000230352
ch1ctliii1b_1,1,week8,none,3.35E-05,3.24E-05,3.47E-05,4.13E-05,5.25E-05,7.10E-05,0.000101737,0.000146427,0.000199375,0.000252164,0.000298876,0.00033861,0.0003743
ch1ctliii1a_1,1,week8,none,7.89E-05,7.77E-05,8.18E-05,8.89E-05,9.71E-05,0.000108212,0.000127163,0.000165677,0.000234874,0.000327489,0.000420908,0.000493091,0.000532393
ch1ctlii1a_1,1,week6,none,0.000209091,0.000246738,0.000296445,0.000357869,0.00042341,0.000470698,0.000475786,0.000446734,0.000426859,0.000460622,0.000559469,0.000703945,0.000856535
ch2ctliv4a_1,1,week12,none,0.000543805,0.000656779,0.000839901,0.001102638,0.001386947,0.001540862,0.0014746,0.001266632,0.001041843,0.000861802,0.000741784,0.000671414,0.000617682
ch2ctliv3c_1,1,week12,none,0.000225182,0.000267381,0.000296095,0.000308101,0.000332831,0.000444402,0.00069522,0.000975409,0.001090652,0.001001564,0.000827937,0.000687068,0.000615183
ch2ctliv3b_1,1,week12,none,0.000321988,0.000366589,0.000395961,0.000396531,0.000379053,0.000403839,0.000550755,0.000803973,0.001009594,0.00104582,0.000949161,0.000825243,0.000746603
ch2ctliv3a_1,1,week12,none,0.000317262,0.000310157,0.000291353,0.000282224,0.000287125,0.000307494,0.000354514,0.000447734,0.000580822,0.000686262,0.00069484,0.000625851,0.000560166
ch2ctliv2c_1,1,week12,none,0.000188772,0.000216697,0.000242424,0.000263443,0.000288583,0.000344003,0.000487279,0.000783579,0.001189474,0.00149761,0.001511174,0.001246069,0.000888801
ch2ctliv2b_1,1,week12,none,0.000135907,0.000146219,0.000163931,0.000204929,0.000304788,0.000502527,0.000774868,0.001011768,0.001111829,0.001066903,0.000929565,0.000757171,0.000590321
ch2ctliv2a_1,1,week12,none,7.43E-05,9.99E-05,0.000137742,0.000190717,0.00025224,0.000317747,0.000394167,0.000483093,0.000561728,0.000601412,0.000596219,0.000564623,0.000534571
ch2ctliv1c_1,1,week12,none,0.000355049,0.000391706,0.000408313,0.000412594,0.000408527,0.000395044,0.000378976,0.00037945,0.000403788,0.000423209,0.000404738,0.000356188,0.000314652
ch2ctliv1b_1,1,week12,none,0.001164399,0.001377494,0.001485112,0.001411703,0.001211833,0.001021881,0.0009262,0.000901563,0.000875967,0.00082093,0.000770128,0.000755174,0.000764398
ch2ctliv1a_1,1,week12,none,0.000200457,0.000224684,0.000239673,0.000257064,0.000280773,0.000309835,0.000340835,0.000358485,0.000347626,0.000315454,0.000286434,0.000281378,0.000306443
ch2ctliii2c_1,1,week8,none,0.000384139,0.000416036,0.000447469,0.000498636,0.000591944,0.000751655,0.00097898,0.001225221,0.001391594,0.001409488,0.001318304,0.001221877,0.001181675
ch2ctliii2b_1,1,week8,none,0.00013801,0.000165231,0.000228426,0.000343505,0.000499303,0.000670623,0.000820993,0.000895454,0.000865135,0.000777337,0.000716229,0.000719856,0.000757437
ch2ctliii2a_1,1,week8,none,0.000332728,0.000408498,0.000555861,0.000780601,0.001033301,0.001218236,0.001259095,0.001174774,0.001048967,0.000940282,0.000870545,0.000836229,0.000808474
ch2ctliii1c_1,1,week8,none,6.03E-05,6.31E-05,6.76E-05,7.47E-05,8.96E-05,0.000116758,0.000152111,0.000187809,0.000217972,0.000237252,0.000246929,0.000257815,0.000277335
ch2ctliii1b_1,1,week8,none,8.31E-05,9.81E-05,0.000113279,0.000126992,0.000141956,0.000167605,0.000210107,0.000263433,0.00031025,0.000334426,0.000343195,0.000365026,0.000413257
ch2ctliii1a_1,1,week8,none,0.000100995,0.000124705,0.000161393,0.000207452,0.00026092,0.00032731,0.000416526,0.000526725,0.000626245,0.000669586,0.000646732,0.000599625,0.000588541
ch2ctlii3c_1,1,week6,none,9.43E-05,0.000113939,0.000127576,0.000137335,0.000147245,0.000153803,0.000151431,0.000144394,0.000143639,0.000155643,0.000181012,0.000214821,0.000244527
ch2ctlii3b_1,1,week6,none,0.000150625,0.000171842,0.000171748,0.000168401,0.000177451,0.000197471,0.00022121,0.000243561,0.0002604,0.000272719,0.000283065,0.000286387,0.000278303
ch2ctlii3a_1,1,week6,none,0.000123907,0.00014028,0.000143321,0.000145787,0.000160105,0.000188505,0.000223998,0.000256629,0.00028043,0.000293917,0.000294676,0.000281891,0.000263109
ch2ctlii2c_1,1,week6,none,0.000187086,0.000203827,0.000215381,0.000262215,0.000382105,0.00053945,0.000633173,0.000617134,0.000546553,0.000494168,0.000480086,0.000481635,0.000479399
ch2ctlii2b_1,1,week6,none,0.000388997,0.000419352,0.00049731,0.000638436,0.000798791,0.000902559,0.000920649,0.000886471,0.000840578,0.000806208,0.000800252,0.000829234,0.000884355
ch2ctlii2a_1,1,week6,none,0.000212506,0.00022321,0.000266197,0.000350171,0.000442696,0.000492471,0.000492466,0.000471358,0.000443585,0.000419781,0.000432951,0.000526044,0.000708713
ch2ctlii1e_1,1,week6,none,0.019633633,0.018510607,0.017364532,0.016216669,0.015063404,0.014273015,0.014103504,0.014323615,0.014428586,0.014085171,0.013314534,0.012339135,0.011392771
ch2ctlii1d_1,1,week6,none,0.076725206,0.076323642,0.074651154,0.070832132,0.064891924,0.057692817,0.05003243,0.042333477,0.034755979,0.027355713,0.020329188,0.014077192,0.009038044
ch2ctlii1c_1,1,week6,none,0.00040165,0.000435509,0.000460288,0.000491849,0.000526261,0.000527209,0.000480248,0.00042329,0.000405514,0.000437435,0.000490909,0.000537912,0.000571571
ch2ctlii1b_1,1,week6,none,0.000258882,0.000321359,0.000402691,0.00048864,0.00054029,0.000522073,0.00044503,0.000362951,0.000325354,0.000342206,0.000389729,0.000445097,0.000496826
ch2ctlii1a_1,1,week6,none,0.00018764,0.000214526,0.00025328,0.000310353,0.000379152,0.000431575,0.000438571,0.000405516,0.000373339,0.000386365,0.000458322,0.000569047,0.00068303
ch2ctli5c_1,1,week4,none,0.000424057,0.000639024,0.000804541,0.000888284,0.000927079,0.000965384,0.001019408,0.001082111,0.001130554,0.001128587,0.00107445,0.001032129,0.001052331
ch2ctli5b_1,1,week4,none,0.002789852,0.002487701,0.002095085,0.001768876,0.00160941,0.001593624,0.001693912,0.001879965,0.002022087,0.001980883,0.001767505,0.001510951,0.001313544
ch2ctli5a_1,1,week4,none,0.000792155,0.000635334,0.000520769,0.000470655,0.00047508,0.000524385,0.000628293,0.000795084,0.00096655,0.001057444,0.001058831,0.00101199,0.000942741
ch2ctli4c_1,1,week4,none,0.000529992,0.0007135,0.000869924,0.001008135,0.001140544,0.001218067,0.00119264,0.001089072,0.000964666,0.000860132,0.000803797,0.000807065,0.000856198
ch2ctli4b_1,1,week4,none,0.000366868,0.000527563,0.000750073,0.001012965,0.001224769,0.001267102,0.001122262,0.000904106,0.000738089,0.000659133,0.000635509,0.000646699,0.000693247
ch2ctli4a_1,1,week4,none,0.000334495,0.000458093,0.000640333,0.000890828,0.00114771,0.001292021,0.001272274,0.001145877,0.00099779,0.000884669,0.000830612,0.00082185,0.000831431
ch2ctli3c_1,1,week4,none,0.001954538,0.002655754,0.003233528,0.003357781,0.003011583,0.0024861,0.002057936,0.001808484,0.00168163,0.001644724,0.001734898,0.001897955,0.001954941
ch2ctli3b_1,1,week4,none,0.001656972,0.002038706,0.002275173,0.002277387,0.002095829,0.0018761,0.00175466,0.00179183,0.001940033,0.002091661,0.002177763,0.002163779,0.002027813
