patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1stziii2c_1,1,week8,none,2.45E-06,2.08E-06,1.76E-06,2.09E-06,2.99E-06,4.03E-06,5.03E-06,5.73E-06,5.65E-06,4.80E-06,3.85E-06,3.51E-06,4.01E-06,5.34E-06,7.58E-06,1.13E-05,1.74E-05,2.60E-05,3.60E-05,4.47E-05,4.96E-05,5.19E-05,5.76E-05,7.03E-05,8.37E-05,8.84E-05,8.75E-05,9.62E-05,0.000132229,0.000201652,0.000296316,0.000408331,0.00053682,0.000678159,0.000810137,0.000893979,0.000938336,0.001044167,0.001303403,0.00166587,0.001949302,0.00199148,0.001789834,0.00146537,0.001137261,0.000871795,0.000695088,0.000603525,0.000571581,0.000574496,0.000599213,0.000636619,0.000678548,0.000724176,0.000776516,0.000826739,0.00085413,0.000841042,0.000786939,0.000712603,0.00064227,0.000585663,0.000544145,0.000515621,0.000492928,0.000477229,0.000485774,0.000534159,0.000612892,0.000690128,0.000736549,0.000739018,0.000700006,0.000631966,0.000550369,0.000467434,0.000389612,0.000319627,0.000258683,0.000206959,0.000163839,0.000129006,0.00010264,8.39E-05,7.07E-05,6.07E-05,5.22E-05
ch1stziii2a_1,1,week8,none,0.013426759,0.015861409,0.018549352,0.021451641,0.024494516,0.027522774,0.03027798,0.032364233,0.033269051,0.032485891,0.029662694,0.024841362,0.018905301,0.014143752,0.014648378,0.026097099,0.05442229,0.102887733,0.168187657,0.238183141,0.293987387,0.316761992,0.296862972,0.241575488,0.17648641,0.134521742,0.133537302,0.160096887,0.180390141,0.170558275,0.134325914,0.092924769,0.063206934,0.047079007,0.037569132,0.029206309,0.022095984,0.018766585,0.019251345,0.02111143,0.022590902,0.022847748,0.021334142,0.018506008,0.015633363,0.013728918,0.012739102,0.011757442,0.010128919,0.008184534,0.006793665,0.006345534,0.006400136,0.006329066,0.005902642,0.005214938,0.004464794,0.003814733,0.003266971,0.002738951,0.002225801,0.001780383,0.00143404,0.001194473,0.001052727,0.000979483,0.000938987,0.000912355,0.000896606,0.000886325,0.000867411,0.00082573,0.000760281,0.000682479,0.000603123,0.000526929,0.000456368,0.000392747,0.000333857,0.00027628,0.000220736,0.000172279,0.000134898,0.000108004,8.83E-05,7.33E-05,6.13E-05
ch1stziii1c_1,1,week8,none,1.68E-06,1.63E-06,1.48E-06,1.56E-06,1.84E-06,1.95E-06,1.79E-06,1.63E-06,1.74E-06,2.07E-06,2.60E-06,3.54E-06,5.13E-06,7.11E-06,8.93E-06,1.09E-05,1.36E-05,1.79E-05,2.49E-05,3.58E-05,5.00E-05,6.50E-05,7.91E-05,9.37E-05,0.000115926,0.000153555,0.000205962,0.000272283,0.000361926,0.000477301,0.000612729,0.000782062,0.000985286,0.001137077,0.001141159,0.001027354,0.00091455,0.000876104,0.00090517,0.000967382,0.001037084,0.001092976,0.001108746,0.001078772,0.001039332,0.00102737,0.001049651,0.001106755,0.001184263,0.001242539,0.001263174,0.001251435,0.001200959,0.001118453,0.001043502,0.001002333,0.000984699,0.000980217,0.000985708,0.000986051,0.000975242,0.000972164,0.000999173,0.001065917,0.001155845,0.00122701,0.001252762,0.00124779,0.001240582,0.001242143,0.00124218,0.001218988,0.001154245,0.001044725,0.000904033,0.00075587,0.000622084,0.000511981,0.000422844,0.000349467,0.000290124,0.000244267,0.000209238,0.000181052,0.000156602,0.000134126,0.000112575
ch1stziii1b_1,1,week8,none,2.37E-06,2.67E-06,2.88E-06,3.12E-06,3.84E-06,4.84E-06,5.29E-06,4.96E-06,4.66E-06,5.53E-06,7.86E-06,1.07E-05,1.29E-05,1.44E-05,1.56E-05,1.69E-05,1.78E-05,1.78E-05,1.83E-05,2.24E-05,3.29E-05,4.87E-05,6.38E-05,7.46E-05,8.63E-05,0.000108916,0.000149676,0.000213773,0.000300623,0.000401948,0.000505457,0.000608832,0.000743234,0.000933861,0.001122892,0.001204494,0.001163238,0.001093488,0.00106147,0.00106105,0.001114428,0.001262395,0.001443515,0.001529467,0.001472063,0.001328973,0.001185211,0.001097167,0.001076079,0.001112593,0.001198995,0.001294967,0.001333229,0.001292471,0.001207144,0.001122251,0.001078413,0.001087551,0.001113077,0.001114999,0.001088465,0.001052391,0.001032304,0.001049336,0.001110165,0.001197918,0.001283137,0.001352426,0.00140978,0.001451312,0.001454735,0.001396955,0.001274935,0.001108265,0.000930959,0.000773046,0.000642048,0.000530489,0.0004341,0.000354349,0.000292447,0.00024676,0.000213226,0.000187069,0.000165059,0.000145135,0.000124889
ch1stziii1a_1,1,week8,none,9.70E-06,9.38E-06,8.08E-06,7.46E-06,8.98E-06,1.42E-05,2.42E-05,3.62E-05,4.39E-05,4.43E-05,4.30E-05,5.21E-05,7.83E-05,0.000110334,0.000130819,0.000138337,0.000144149,0.000152234,0.000160617,0.000173922,0.000202349,0.000259735,0.000355912,0.000479717,0.000615452,0.000764279,0.000927317,0.001084467,0.001196411,0.001237273,0.00125062,0.001336744,0.001525491,0.001730245,0.001856289,0.001881478,0.001848832,0.001827411,0.001860486,0.001939324,0.002028931,0.002090335,0.002103106,0.002085287,0.002065556,0.002060691,0.002082104,0.002122042,0.002151045,0.00214006,0.002070181,0.001953986,0.0018395,0.001758498,0.001710509,0.001694422,0.001693032,0.001661397,0.001582719,0.001489575,0.001410778,0.001340462,0.001271164,0.001221785,0.001217428,0.001258381,0.001317759,0.001371324,0.001416216,0.001447474,0.001441471,0.001384363,0.001287459,0.001163189,0.001017652,0.000861274,0.000706354,0.000565635,0.000452575,0.000372819,0.000320581,0.000285207,0.00025736,0.000230294,0.000200861,0.00017011,0.000140095
ch1stzii2b_1,1,week6,none,2.40E-06,2.32E-06,2.84E-06,3.82E-06,4.76E-06,5.20E-06,5.10E-06,4.72E-06,4.28E-06,4.06E-06,4.46E-06,5.39E-06,6.24E-06,7.35E-06,1.02E-05,1.48E-05,1.82E-05,1.85E-05,1.79E-05,1.99E-05,2.59E-05,3.51E-05,4.51E-05,5.59E-05,7.20E-05,9.57E-05,0.000122373,0.000154367,0.00020653,0.000274343,0.000320061,0.00031891,0.000289835,0.000265413,0.000259656,0.000272386,0.000298463,0.000335857,0.000395799,0.000491877,0.000628265,0.000789207,0.00092697,0.001000519,0.001028554,0.00105824,0.001104715,0.00115167,0.001178731,0.001177622,0.001149514,0.00109826,0.001031159,0.000964594,0.000922593,0.000919783,0.000948256,0.00098712,0.001014015,0.001014781,0.000990636,0.000949843,0.000904019,0.000867217,0.000845759,0.000836638,0.000837952,0.000854053,0.000884035,0.000913331,0.000928628,0.000925584,0.000898021,0.000840456,0.000756835,0.000656264,0.000549056,0.000447758,0.000362543,0.000295001,0.000241277,0.000198539,0.000165112,0.000138673,0.0001172,9.93E-05,8.36E-05
ch1stzii2a_1,1,week6,none,6.74E-07,8.38E-07,1.04E-06,1.14E-06,1.13E-06,1.09E-06,1.10E-06,1.29E-06,2.10E-06,4.03E-06,6.73E-06,8.82E-06,9.48E-06,9.56E-06,1.04E-05,1.18E-05,1.24E-05,1.22E-05,1.29E-05,1.74E-05,2.72E-05,3.91E-05,4.66E-05,4.75E-05,5.03E-05,6.55E-05,9.52E-05,0.000132527,0.000177119,0.00024856,0.000357763,0.000465338,0.000510497,0.000483305,0.000436588,0.00042915,0.000478797,0.000572455,0.000700115,0.000853938,0.001013559,0.001139473,0.001175282,0.001103587,0.000979672,0.000870607,0.000803592,0.000782116,0.000806481,0.000868543,0.000946699,0.001019707,0.001082244,0.001133647,0.001164606,0.001171467,0.001158903,0.001124119,0.001071768,0.001015895,0.000957804,0.00090003,0.000857536,0.000835697,0.000827271,0.00082938,0.000842825,0.000863419,0.000881072,0.000886441,0.00087801,0.0008586,0.000825183,0.0007688,0.000688134,0.000594287,0.000498009,0.000404619,0.000320517,0.00025312,0.000205224,0.00017356,0.000151706,0.000133613,0.000116262,9.99E-05,8.54E-05
ch1stzii1b_1,1,week6,none,3.16E-05,5.67E-05,7.57E-05,8.19E-05,8.55E-05,9.67E-05,0.000110738,0.000117349,0.000114549,0.00011228,0.000117673,0.000120494,0.000113194,0.000114386,0.000145113,0.00019228,0.000224205,0.000231624,0.000230152,0.000237934,0.000270503,0.000332557,0.000404836,0.00046573,0.000512333,0.000550335,0.000579734,0.000591416,0.000581489,0.000573827,0.000605866,0.000670287,0.000724389,0.000761893,0.000799007,0.000821567,0.000811103,0.000783045,0.000767233,0.00076738,0.000752178,0.000699652,0.000628487,0.000564909,0.000510885,0.000460414,0.000420839,0.000405514,0.000409185,0.000403781,0.000370926,0.000323159,0.000284781,0.00026564,0.000257533,0.00024847,0.000233804,0.000216304,0.000200185,0.0001867,0.000175354,0.000168499,0.000171395,0.000186525,0.000210401,0.000238755,0.000271871,0.000312678,0.000362966,0.000418318,0.000463711,0.000477629,0.000446768,0.000378602,0.000296215,0.000220782,0.000161173,0.000117493,8.75E-05,6.82E-05,5.64E-05,4.89E-05,4.35E-05,3.88E-05,3.44E-05,3.05E-05,2.69E-05
ch1stzii1a_1,1,week6,none,5.08E-06,5.73E-06,1.10E-05,1.99E-05,2.86E-05,3.40E-05,3.59E-05,3.45E-05,3.04E-05,2.64E-05,2.76E-05,3.52E-05,4.30E-05,4.46E-05,4.01E-05,3.43E-05,3.21E-05,3.57E-05,4.37E-05,5.24E-05,5.68E-05,5.49E-05,4.89E-05,4.17E-05,3.51E-05,3.07E-05,2.88E-05,2.95E-05,3.42E-05,4.59E-05,6.94E-05,0.000109507,0.000159025,0.000195383,0.000208452,0.000218997,0.000248548,0.000282211,0.00028651,0.000255037,0.000210684,0.000177091,0.000165813,0.000176837,0.000201435,0.000229523,0.000253708,0.000267597,0.000267219,0.000254723,0.000235242,0.000211248,0.000186892,0.000171302,0.000168503,0.000171746,0.000172585,0.00016865,0.000163312,0.000162842,0.000171565,0.000188205,0.000208518,0.000227965,0.000241394,0.000246634,0.000251301,0.000271921,0.000323241,0.000408256,0.000511038,0.000595796,0.000623303,0.000576797,0.000474217,0.00035339,0.000245725,0.000165078,0.000112694,8.34E-05,6.91E-05,6.17E-05,5.61E-05,4.99E-05,4.30E-05,3.62E-05,2.99E-05
ch1stzi3b_1,1,week4,none,0.000134204,0.000254641,0.000515784,0.00086929,0.001161451,0.001305931,0.001287263,0.001116018,0.000873396,0.000687386,0.000643374,0.00076091,0.000997444,0.001200676,0.001189275,0.000965215,0.000729512,0.000682266,0.000821444,0.000956219,0.000964651,0.000911942,0.000892991,0.000907749,0.000891786,0.000806055,0.000679673,0.000564967,0.000485054,0.000441248,0.000435764,0.000455333,0.000466908,0.000462949,0.000473146,0.000518598,0.000591749,0.000674031,0.00073498,0.000748516,0.000733551,0.000773523,0.000994812,0.001453342,0.001973925,0.002223533,0.002065358,0.001680779,0.001321292,0.001109505,0.001033369,0.001023405,0.001073906,0.001278375,0.001617565,0.001841182,0.001765755,0.001488338,0.001212253,0.001043382,0.000964082,0.00090734,0.000847933,0.000826529,0.000877786,0.000973951,0.001068919,0.001142488,0.001182267,0.001174289,0.001114069,0.001007929,0.000874652,0.000739314,0.000616288,0.000506626,0.000408916,0.000325023,0.000256983,0.000203576,0.000161935,0.000129502,0.000104072,8.41E-05,6.86E-05,5.63E-05,4.59E-05
