patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ctlvi1od(1)_2,2,health,none,1.42E-05,1.71E-05,1.98E-05,2.12E-05,2.06E-05,1.97E-05,1.98E-05,2.00E-05,1.95E-05,2.07E-05,2.63E-05,3.71E-05,5.43E-05,7.96E-05,0.000108478,0.000132383,0.000145559,0.000142509,0.000123547,9.97E-05,8.57E-05,9.07E-05,0.0001108,0.000134739,0.000163123,0.000208972,0.000291497,0.000419659,0.000561134,0.000676307,0.000789135,0.000961211,0.001170988,0.001285652,0.001213375,0.001017466,0.000879884,0.001101908,0.002004837,0.003344193,0.004175491,0.003913332,0.002941999,0.001982494,0.001418401,0.001236239,0.001260945,0.001363549,0.001533059,0.00173377,0.001802343,0.001655285,0.001405608,0.001187724,0.001038545,0.000936017,0.000859187,0.000806384,0.000772464,0.000745573,0.000723189,0.000702331,0.000671817,0.000629676,0.000590933,0.000567209,0.000548461,0.00051645,0.000471022,0.000427891,0.000393318,0.000358074,0.000314331,0.00026575,0.000221808,0.000187729,0.000161355,0.000138282,0.000116912,9.83E-05,8.30E-05,6.95E-05,5.60E-05,4.30E-05,3.17E-05,2.28E-05,1.61E-05
ctlvi1od(1)_1,1,health,none,9.50E-05,0.000118947,0.000133459,0.000126082,0.000104794,8.44E-05,7.13E-05,6.31E-05,5.78E-05,5.97E-05,7.01E-05,7.92E-05,7.78E-05,7.12E-05,7.54E-05,9.50E-05,0.000113163,0.000115263,0.000108832,0.000108245,0.000116775,0.000134343,0.000166813,0.000212882,0.000252263,0.000266657,0.000266712,0.000280885,0.000327093,0.000409743,0.000525372,0.000655945,0.000772987,0.000859373,0.000922399,0.000985241,0.001112829,0.001558839,0.002655881,0.004065095,0.004738966,0.004203833,0.003042867,0.002016422,0.001424728,0.001215485,0.001226685,0.001347922,0.00158221,0.001878512,0.002046772,0.001975274,0.001737761,0.00146209,0.001222515,0.00104093,0.000925435,0.000875619,0.000856504,0.00081607,0.00073659,0.000637916,0.000542758,0.00045925,0.00038966,0.000337686,0.000302834,0.000278234,0.00025693,0.000236863,0.000218948,0.000203031,0.000188199,0.000174528,0.000161402,0.000146179,0.000127299,0.000106613,8.69E-05,6.94E-05,5.43E-05,4.16E-05,3.13E-05,2.33E-05,1.72E-05,1.26E-05,9.13E-06
ctlv3oi_2,2,health,none,0.000364128,0.000755917,0.001275799,0.00158877,0.001488981,0.001118444,0.000739179,0.000530556,0.000626525,0.001079631,0.001745079,0.002368177,0.002680647,0.002506677,0.002006568,0.001639884,0.001792077,0.002491913,0.003542423,0.00489364,0.006673763,0.008785021,0.010682032,0.011937573,0.01257975,0.012386491,0.011106801,0.00935919,0.007905385,0.006813008,0.00600127,0.005591364,0.005701602,0.006547196,0.009193008,0.01547631,0.02427659,0.029702888,0.027667204,0.020703759,0.013718606,0.009014623,0.006347922,0.004973567,0.004771425,0.006147903,0.00864768,0.010314125,0.009749283,0.007621869,0.005422432,0.003949404,0.003164434,0.002729254,0.002413332,0.002156401,0.001966649,0.001832707,0.001701863,0.001537265,0.001368667,0.001248368,0.001173913,0.001090867,0.00096693,0.000826166,0.000708006,0.000623867,0.00056228,0.000512547,0.000468793,0.000423479,0.000371004,0.000314697,0.000263323,0.000222823,0.000193429,0.000171766,0.000154296,0.000139153,0.000125613,0.000113226,0.000101427,8.95E-05,7.70E-05,6.41E-05,5.16E-05
ctlv3oi_1,1,health,none,0.000124458,0.000110956,0.000111007,0.000142679,0.000233871,0.000385188,0.000542192,0.000645488,0.000663869,0.000602488,0.000553361,0.000654485,0.000906466,0.001161864,0.001333888,0.001437805,0.001535164,0.001760428,0.002267322,0.003227161,0.004787152,0.006724456,0.00834589,0.009181039,0.009678493,0.010746125,0.012478847,0.013704277,0.013257144,0.011448464,0.00969969,0.009053453,0.009573479,0.010984546,0.013939885,0.019849344,0.027111739,0.030320091,0.026705507,0.019265399,0.012437363,0.00822228,0.006260381,0.005500423,0.005527508,0.006600599,0.008287427,0.009135239,0.008395301,0.006731381,0.005086554,0.003883167,0.003118144,0.002616038,0.002219647,0.001892707,0.00166027,0.001519193,0.001439464,0.001396153,0.001364971,0.001306158,0.001192204,0.001036473,0.000874623,0.000734543,0.000628198,0.000556211,0.000510477,0.000479619,0.000455882,0.00043183,0.000397522,0.000348563,0.000292348,0.000240551,0.000198535,0.000165332,0.000139093,0.000119171,0.000104908,9.44E-05,8.50E-05,7.48E-05,6.41E-05,5.40E-05,4.50E-05
ctlv3oi(1)_2,2,health,none,3.81E-05,4.23E-05,3.88E-05,3.08E-05,2.43E-05,2.33E-05,2.80E-05,3.65E-05,4.55E-05,5.27E-05,6.29E-05,9.26E-05,0.000160381,0.000266132,0.000387809,0.000513054,0.000652581,0.000819318,0.00098763,0.001074352,0.001051828,0.001060293,0.00125108,0.001559156,0.001864172,0.002314829,0.003261946,0.004838231,0.006730353,0.00843844,0.009424157,0.009226351,0.007976497,0.006448596,0.00536933,0.004867335,0.004698184,0.005272354,0.008202224,0.013850839,0.018671203,0.018785984,0.014703463,0.009653608,0.005808326,0.003510398,0.002338205,0.001842247,0.00169686,0.001691017,0.001692538,0.001634734,0.001536325,0.001458806,0.001416506,0.001366927,0.001276478,0.001158203,0.001039379,0.000921926,0.000798918,0.000685231,0.000604693,0.000560044,0.000531443,0.000497474,0.000449757,0.000394142,0.000343398,0.000305749,0.000280469,0.00026123,0.000241229,0.000218491,0.00019586,0.000175519,0.000157032,0.000139581,0.000123247,0.000109161,9.87E-05,9.18E-05,8.72E-05,8.25E-05,7.53E-05,6.48E-05,5.22E-05
ctlv3oi(1)_1,1,health,none,2.20E-05,4.14E-05,7.26E-05,0.00011197,0.000141919,0.000143001,0.000120039,9.86E-05,9.46E-05,0.000103926,0.000119629,0.000139127,0.000158574,0.000174107,0.000186331,0.000203661,0.000241913,0.000326198,0.000480907,0.000690956,0.000897102,0.001031041,0.001061512,0.001070028,0.001231904,0.001653299,0.002266007,0.002992318,0.003918896,0.005031719,0.006064826,0.006839832,0.007273717,0.007185641,0.006550289,0.005680276,0.005039128,0.005415694,0.008604587,0.015743428,0.023371526,0.025603544,0.021228875,0.014198349,0.008408635,0.004983398,0.003254572,0.002366725,0.001887958,0.001665878,0.001571396,0.00148217,0.001381556,0.001317639,0.001303813,0.001308785,0.001289014,0.001223386,0.001126003,0.001017686,0.000904452,0.000786878,0.000673716,0.000580311,0.000517152,0.000480709,0.000453548,0.000418334,0.000373613,0.000330059,0.000294503,0.000264703,0.000236835,0.000210821,0.000188931,0.000172006,0.000157989,0.000144367,0.000130669,0.000118432,0.000109235,0.000102622,9.64E-05,8.84E-05,7.78E-05,6.50E-05,5.15E-05
ctlv3od_2,2,health,none,2.54E-05,2.89E-05,3.31E-05,3.42E-05,3.49E-05,4.60E-05,7.33E-05,0.000102985,0.000115736,0.00011612,0.000121633,0.000133413,0.000142514,0.000152141,0.000172694,0.000202717,0.000227253,0.000246373,0.000309778,0.000496214,0.000843583,0.001292327,0.001702879,0.002018587,0.002290131,0.002445643,0.002357878,0.00210331,0.001835204,0.001585975,0.001378686,0.001314562,0.001469039,0.00201784,0.004110439,0.009910082,0.018685472,0.024622983,0.023324677,0.016933602,0.01025282,0.005791223,0.00346921,0.002477923,0.002510977,0.00381905,0.006011134,0.007456916,0.007006901,0.005249319,0.00345121,0.002291281,0.001714122,0.001385534,0.001100046,0.000843673,0.000655588,0.000541215,0.000475507,0.000430861,0.000392997,0.00036046,0.000335313,0.000315874,0.000295605,0.000268112,0.000232959,0.000195346,0.000161271,0.000133673,0.000112335,9.57E-05,8.23E-05,7.08E-05,6.03E-05,5.10E-05,4.32E-05,3.73E-05,3.28E-05,2.91E-05,2.56E-05,2.24E-05,1.97E-05,1.75E-05,1.55E-05,1.31E-05,1.04E-05
ctlv3od_1,1,health,none,0.000106092,0.000146533,0.000219882,0.000313723,0.000408838,0.000574898,0.000956719,0.001495764,0.001841293,0.001767554,0.001425594,0.001085599,0.000914416,0.000966671,0.001138041,0.001213533,0.001114586,0.000995038,0.00105536,0.001344662,0.001761634,0.002136552,0.00228587,0.002170388,0.001992757,0.002031153,0.002403166,0.00291575,0.003179336,0.003016082,0.00261712,0.002238869,0.002009315,0.002319086,0.004751745,0.011410914,0.020544689,0.025796849,0.023571212,0.016748503,0.010034314,0.005655598,0.003445064,0.002590244,0.002817536,0.004318727,0.00645614,0.00755854,0.006789976,0.00494712,0.003224147,0.002179326,0.001709699,0.001452735,0.001181872,0.000901674,0.000681459,0.000536256,0.000448232,0.000403343,0.00038724,0.000379897,0.000366057,0.000341846,0.000309673,0.000273006,0.000236488,0.000204327,0.000177443,0.000154667,0.000135204,0.000118389,0.000103029,8.84E-05,7.49E-05,6.30E-05,5.29E-05,4.42E-05,3.67E-05,3.04E-05,2.53E-05,2.14E-05,1.83E-05,1.57E-05,1.32E-05,1.07E-05,8.28E-06
ctlv3od(1)_2,2,health,none,2.12E-05,2.11E-05,2.04E-05,1.98E-05,1.87E-05,1.69E-05,1.71E-05,2.28E-05,3.19E-05,3.80E-05,3.93E-05,4.32E-05,6.16E-05,9.91E-05,0.000147641,0.000203723,0.000278076,0.000384252,0.000505826,0.00058275,0.000587712,0.000587494,0.000659273,0.00078585,0.000925678,0.001152689,0.001646466,0.002487505,0.003471844,0.004268054,0.004634758,0.004455007,0.00383323,0.003111335,0.002616935,0.002401345,0.002437954,0.003575172,0.00793076,0.01570029,0.022112341,0.02231084,0.017159576,0.010864169,0.006176225,0.003490211,0.002226028,0.001805321,0.001877083,0.002176766,0.002365084,0.002208828,0.001791081,0.001355785,0.001057709,0.000900111,0.000817085,0.00076071,0.00071359,0.000665161,0.000609834,0.000554206,0.000506799,0.000466213,0.000426874,0.000388593,0.000353137,0.000318894,0.000283968,0.000248434,0.000214036,0.000183999,0.000159608,0.000138668,0.000119446,0.000102205,8.69E-05,7.30E-05,6.05E-05,5.02E-05,4.25E-05,3.74E-05,3.44E-05,3.23E-05,2.97E-05,2.55E-05,1.98E-05
ctlv3od(1)_1,1,health,none,8.58E-06,1.21E-05,1.83E-05,2.82E-05,4.06E-05,5.31E-05,6.52E-05,7.94E-05,9.57E-05,0.000108363,0.000111939,0.00010688,0.000101401,0.000105791,0.000130589,0.000187845,0.00026876,0.000337767,0.000382917,0.000429662,0.000487437,0.000525387,0.000518948,0.000509266,0.000586389,0.000794289,0.001069952,0.001346922,0.001681889,0.002141335,0.002659847,0.003119647,0.003418947,0.003472838,0.003293336,0.003013389,0.002876198,0.003672516,0.007488136,0.015729133,0.024611979,0.027493217,0.022891644,0.015179883,0.008756798,0.004971854,0.003160397,0.002376124,0.002123574,0.002200553,0.00232412,0.002214318,0.001884722,0.001544884,0.001323356,0.001201923,0.001109318,0.001007554,0.000900325,0.000795809,0.000694563,0.000600844,0.000523404,0.00046772,0.000432284,0.000408458,0.00038372,0.000349422,0.000306245,0.000260939,0.00021975,0.000185011,0.000156404,0.000133588,0.000115987,0.000101723,8.86E-05,7.58E-05,6.36E-05,5.29E-05,4.47E-05,3.95E-05,3.66E-05,3.40E-05,3.05E-05,2.55E-05,1.95E-05
