patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1ctliv7c_1,1,week12,none,5.08E-06,6.35E-06,6.34E-06,5.32E-06,4.00E-06,2.90E-06,2.23E-06,2.09E-06,2.49E-06,3.50E-06,5.65E-06,9.26E-06,1.39E-05,2.02E-05,3.03E-05,4.21E-05,4.97E-05,4.97E-05,4.58E-05,4.52E-05,5.30E-05,6.53E-05,7.24E-05,7.32E-05,7.90E-05,0.000107819,0.000188124,0.000332514,0.000481418,0.000540877,0.000493441,0.000397207,0.000304987,0.00023844,0.000203782,0.000204082,0.000255008,0.000375942,0.000522379,0.000590292,0.000539756,0.00043625,0.000369134,0.000383143,0.000456163,0.000525268,0.000556911,0.000570851,0.000585604,0.000589377,0.000588925,0.000647786,0.000818583,0.001021253,0.00109687,0.001004307,0.000844615,0.000720348,0.000658441,0.000635256,0.000620142,0.000600866,0.000584626,0.00058269,0.00060164,0.00064078,0.000687483,0.000718568,0.0007154,0.000677031,0.000615814,0.000544316,0.000469567,0.000397419,0.000334226,0.000282721,0.000240358,0.00020366,0.000172313,0.000147643,0.000129629,0.000116734,0.000107172,9.94E-05,9.19E-05,8.30E-05,7.24E-05
ch1ctliv7b_1,1,week12,none,8.21E-06,1.02E-05,9.99E-06,8.47E-06,7.28E-06,7.60E-06,9.51E-06,1.18E-05,1.29E-05,1.23E-05,1.13E-05,1.12E-05,1.31E-05,1.76E-05,2.48E-05,3.51E-05,4.73E-05,5.70E-05,6.12E-05,6.32E-05,6.68E-05,7.07E-05,7.31E-05,7.74E-05,9.30E-05,0.000132565,0.000212534,0.000349712,0.000534873,0.000695713,0.000733517,0.000627122,0.000453345,0.000300395,0.00020431,0.000167136,0.000195101,0.000297068,0.000449106,0.000572366,0.000590295,0.00051906,0.000454381,0.000478656,0.000591319,0.000705724,0.000742382,0.000716505,0.000684655,0.000662709,0.000652917,0.000708507,0.000885376,0.001099581,0.001176855,0.001071086,0.000891803,0.000750657,0.000673143,0.000630463,0.00059739,0.000574741,0.000574491,0.000598059,0.000634421,0.000668552,0.000686338,0.000681392,0.000660113,0.000633252,0.000604309,0.0005693,0.000523264,0.000465886,0.000403454,0.000343838,0.000290171,0.000242358,0.00020114,0.000168341,0.000144899,0.000129271,0.00011832,0.000109222,9.99E-05,8.92E-05,7.66E-05
ch1ctliv7a_1,1,week12,none,2.55E-06,2.40E-06,2.52E-06,2.77E-06,3.42E-06,4.96E-06,7.43E-06,9.68E-06,1.03E-05,9.52E-06,8.59E-06,8.75E-06,1.14E-05,1.72E-05,2.43E-05,3.11E-05,4.31E-05,6.68E-05,9.54E-05,0.000111974,0.000109933,9.79E-05,8.70E-05,7.92E-05,7.25E-05,7.89E-05,0.000133014,0.000279852,0.000522489,0.000761445,0.000853425,0.000766056,0.000594445,0.000434003,0.000316594,0.000245204,0.000230919,0.00029205,0.000425668,0.000575205,0.000649661,0.000614608,0.000537905,0.000515641,0.000576347,0.000664633,0.00070398,0.000672974,0.000615431,0.000584531,0.000600748,0.000672381,0.000801467,0.000922081,0.000934441,0.000832578,0.000703224,0.000624791,0.000620966,0.000669496,0.000724782,0.000751542,0.000749227,0.000736292,0.000720429,0.000701685,0.000688019,0.000693824,0.000727034,0.000773875,0.000800228,0.000775847,0.000698046,0.000591689,0.000487497,0.000401756,0.000333533,0.000276444,0.000228856,0.000192268,0.000165859,0.000146143,0.000130067,0.000116583,0.00010542,9.52E-05,8.36E-05
ch1ctliv6c_1,1,week12,none,0.000189606,0.000275639,0.000339323,0.00037699,0.000407586,0.000433778,0.000453964,0.000461843,0.000447806,0.000440773,0.000506298,0.00064733,0.000810173,0.001036698,0.001367878,0.001618212,0.00157883,0.001327091,0.001098121,0.000994976,0.000972184,0.001044839,0.001376473,0.002106759,0.003138464,0.004128663,0.004692481,0.004632314,0.004084451,0.003530526,0.003477366,0.003944095,0.004417515,0.004450245,0.004040038,0.003433611,0.002885355,0.002562108,0.002468226,0.002462479,0.002456473,0.002488653,0.002523372,0.002413294,0.00212117,0.001768281,0.001481111,0.001297159,0.001183861,0.001112515,0.001132277,0.001331361,0.001627759,0.001748917,0.001565002,0.001221645,0.000911366,0.00070667,0.000590441,0.000530068,0.000514708,0.000549569,0.00061825,0.000678156,0.00070741,0.0007195,0.000732006,0.000748292,0.000759311,0.000753711,0.000728803,0.000685169,0.000618375,0.000528422,0.000430226,0.000343435,0.00027609,0.000224651,0.000184004,0.000152279,0.000128763,0.000111357,9.71E-05,8.41E-05,7.23E-05,6.21E-05,5.32E-05
ch1ctliv6b_1,1,week12,none,0.000594169,0.000754459,0.000932194,0.001105893,0.00138002,0.002076397,0.003245705,0.00425499,0.004489238,0.004223218,0.004211097,0.004514742,0.004548725,0.004288543,0.004523852,0.006136705,0.009350607,0.012982968,0.015760261,0.019119949,0.025237296,0.031562702,0.032569494,0.027161357,0.019647265,0.014470313,0.012782448,0.01304922,0.01325105,0.012637648,0.01179634,0.011209525,0.010753727,0.010396081,0.010137127,0.009533311,0.008238281,0.006665053,0.005412754,0.004540125,0.00377687,0.00302497,0.002405106,0.002007668,0.001784303,0.001638971,0.001517377,0.001406604,0.001298648,0.001188704,0.001117784,0.001163513,0.001299782,0.001352328,0.001213117,0.000965907,0.000750263,0.000624001,0.000561839,0.000520386,0.0004893,0.000487611,0.00051875,0.00055469,0.000581242,0.000624867,0.000712966,0.0008319,0.000933048,0.000971453,0.00093559,0.000843078,0.000722066,0.000597471,0.000484648,0.000390624,0.000316852,0.000260865,0.000218038,0.000183433,0.000153711,0.0001281,0.000107446,9.18E-05,7.98E-05,6.99E-05,6.09E-05
ch1ctliv6a_1,1,week12,none,6.89E-05,0.000103542,0.000129154,0.000132461,0.000111619,8.09E-05,6.62E-05,0.00010808,0.000256582,0.000555404,0.0011134,0.002108158,0.00358971,0.005441315,0.007275153,0.008462148,0.008826935,0.008839935,0.008741679,0.008115577,0.006782082,0.005486434,0.005232459,0.006344793,0.008485235,0.01090749,0.012377603,0.011920462,0.00996337,0.007929522,0.00670605,0.006072054,0.00551455,0.004918581,0.004336575,0.003706971,0.003000458,0.002327651,0.00183093,0.00154572,0.0013931,0.001304126,0.00128357,0.001315481,0.001309056,0.001211481,0.001068963,0.000941011,0.000841681,0.000764292,0.000727109,0.000787151,0.00094061,0.001050011,0.00100444,0.000855743,0.000714345,0.000627388,0.000588429,0.00057972,0.000587541,0.000609786,0.000641742,0.00065968,0.000651773,0.000641957,0.000657594,0.000702717,0.000761323,0.000801581,0.000791152,0.000721842,0.000615754,0.000506056,0.000414315,0.000344359,0.00028988,0.000244486,0.00020531,0.000171157,0.000141887,0.000118177,0.000100286,8.73E-05,7.75E-05,6.89E-05,6.01E-05
ch1ctliv5c_1,1,week12,none,0.000214827,0.000230185,0.000278099,0.000311035,0.000308265,0.000288253,0.000279703,0.000318096,0.000514973,0.001073245,0.00207858,0.003262595,0.0042606,0.005143968,0.006067631,0.006541747,0.006117718,0.005392523,0.005537987,0.007377623,0.010679241,0.013803163,0.015551859,0.016857415,0.018966414,0.022497856,0.028213249,0.035249282,0.041287838,0.046176171,0.050681454,0.053810216,0.057424227,0.065646758,0.075310842,0.080330769,0.083376602,0.089158071,0.095745108,0.100978319,0.105644435,0.109382705,0.111387892,0.112167788,0.112644679,0.113502858,0.114648497,0.115204232,0.114534394,0.113052418,0.111671623,0.110811372,0.110325874,0.109978877,0.109713114,0.109639089,0.109781054,0.109859059,0.109476821,0.108465579,0.106837943,0.104427381,0.10081796,0.09579154,0.08964427,0.082915054,0.076130277,0.069921654,0.064889989,0.061175022,0.058375608,0.055752871,0.052498756,0.048115823,0.042648883,0.036610952,0.030698891,0.025405705,0.02078667,0.016604402,0.012695358,0.009150566,0.006176154,0.003894927,0.002302241,0.001314414,0.000798991
ch1ctliv5b_1,1,week12,none,0.000164523,0.000143798,0.000148486,0.000195452,0.000294289,0.000443262,0.000635927,0.000850006,0.001022884,0.001073206,0.000985269,0.000854967,0.000818134,0.00092513,0.00109475,0.001198572,0.001197057,0.001180272,0.001241275,0.001339727,0.001378175,0.001361315,0.001345899,0.001320231,0.001267232,0.001224276,0.001200403,0.001155606,0.001077734,0.001006896,0.000986575,0.001022145,0.001091968,0.001160186,0.001178427,0.00113471,0.001079579,0.001060189,0.001060402,0.001039282,0.001000704,0.000986588,0.001019161,0.001076882,0.001126623,0.001146089,0.001119245,0.00105538,0.000986225,0.00092633,0.000869536,0.000811392,0.000757182,0.000720398,0.000712598,0.00073421,0.000775347,0.000819903,0.000854079,0.000877884,0.000903136,0.000932134,0.000944827,0.000918358,0.000854611,0.00077947,0.000724754,0.000712786,0.000747651,0.000818176,0.000911853,0.00101735,0.001106262,0.001132213,0.001063765,0.000914405,0.000731688,0.000559371,0.000418298,0.000312346,0.000237511,0.000186625,0.000151939,0.000126716,0.000105899,8.68E-05,6.90E-05
ch1ctliv5a_1,1,week12,none,4.66E-07,5.42E-07,6.59E-07,9.12E-07,1.32E-06,2.02E-06,3.38E-06,5.41E-06,7.42E-06,8.48E-06,8.27E-06,7.22E-06,6.12E-06,5.59E-06,5.92E-06,7.40E-06,1.00E-05,1.28E-05,1.45E-05,1.58E-05,1.84E-05,2.36E-05,2.96E-05,3.43E-05,3.85E-05,4.31E-05,4.74E-05,4.97E-05,5.01E-05,5.07E-05,5.45E-05,6.67E-05,9.62E-05,0.000150475,0.00022664,0.000309722,0.00038326,0.000441573,0.000490316,0.000531645,0.000562762,0.000589585,0.00061921,0.000657317,0.000709929,0.000757026,0.000766633,0.000741974,0.000710791,0.000687596,0.0006709,0.000661313,0.000671391,0.000718519,0.000799593,0.000872425,0.000893568,0.000874098,0.000861102,0.000874451,0.000894161,0.000898274,0.000886476,0.0008679,0.000844173,0.000810319,0.000770961,0.00074924,0.000770185,0.000844628,0.000966468,0.001108712,0.001226837,0.001273162,0.00121669,0.00106282,0.00085344,0.000642388,0.000468059,0.000342854,0.000260373,0.000207762,0.000172977,0.000146842,0.000123422,0.000100568,7.92E-05
ch1ctliv4d_1,1,week12,none,2.65E-06,3.24E-06,5.15E-06,9.53E-06,1.53E-05,1.85E-05,1.70E-05,1.28E-05,8.80E-06,6.26E-06,5.02E-06,4.79E-06,5.99E-06,9.04E-06,1.30E-05,1.57E-05,1.63E-05,1.67E-05,1.95E-05,2.45E-05,2.96E-05,3.42E-05,3.85E-05,4.36E-05,5.11E-05,6.52E-05,9.29E-05,0.000142267,0.000213345,0.000289435,0.000351594,0.000389276,0.000398581,0.000391212,0.000386467,0.000390525,0.000423543,0.00055779,0.000809921,0.001025167,0.001055588,0.0009469,0.000834411,0.000795372,0.000831261,0.000898318,0.000956837,0.001016179,0.001091461,0.001136708,0.001106144,0.00104462,0.001057112,0.001203501,0.001406581,0.001492685,0.001379664,0.001151112,0.00093694,0.000800094,0.000732126,0.000706958,0.000711901,0.000742173,0.000783312,0.000811818,0.000822132,0.000827999,0.00083421,0.000836282,0.000837103,0.000835437,0.000815321,0.000761694,0.000674065,0.000566319,0.000457983,0.00036202,0.000281669,0.000217194,0.000168882,0.000134734,0.000110522,9.21E-05,7.66E-05,6.30E-05,5.10E-05
