patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1ctliv7c_1,1,week12,none,0.000304987,0.00023844,0.000203782,0.000204082,0.000255008,0.000375942,0.000522379,0.000590292,0.000539756,0.00043625,0.000369134,0.000383143,0.000456163
ch1ctliv7b_1,1,week12,none,0.000453345,0.000300395,0.00020431,0.000167136,0.000195101,0.000297068,0.000449106,0.000572366,0.000590295,0.00051906,0.000454381,0.000478656,0.000591319
ch1ctliv7a_1,1,week12,none,0.000594445,0.000434003,0.000316594,0.000245204,0.000230919,0.00029205,0.000425668,0.000575205,0.000649661,0.000614608,0.000537905,0.000515641,0.000576347
ch1ctliv6c_1,1,week12,none,0.004417515,0.004450245,0.004040038,0.003433611,0.002885355,0.002562108,0.002468226,0.002462479,0.002456473,0.002488653,0.002523372,0.002413294,0.00212117
ch1ctliv6b_1,1,week12,none,0.010753727,0.010396081,0.010137127,0.009533311,0.008238281,0.006665053,0.005412754,0.004540125,0.00377687,0.00302497,0.002405106,0.002007668,0.001784303
ch1ctliv6a_1,1,week12,none,0.00551455,0.004918581,0.004336575,0.003706971,0.003000458,0.002327651,0.00183093,0.00154572,0.0013931,0.001304126,0.00128357,0.001315481,0.001309056
ch1ctliv5c_1,1,week12,none,0.057424227,0.065646758,0.075310842,0.080330769,0.083376602,0.089158071,0.095745108,0.100978319,0.105644435,0.109382705,0.111387892,0.112167788,0.112644679
ch1ctliv5b_1,1,week12,none,0.001091968,0.001160186,0.001178427,0.00113471,0.001079579,0.001060189,0.001060402,0.001039282,0.001000704,0.000986588,0.001019161,0.001076882,0.001126623
ch1ctliv5a_1,1,week12,none,9.62E-05,0.000150475,0.00022664,0.000309722,0.00038326,0.000441573,0.000490316,0.000531645,0.000562762,0.000589585,0.00061921,0.000657317,0.000709929
ch1ctliv4d_1,1,week12,none,0.000398581,0.000391212,0.000386467,0.000390525,0.000423543,0.00055779,0.000809921,0.001025167,0.001055588,0.0009469,0.000834411,0.000795372,0.000831261
