patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ctrlcontrolle2119baseligne0-5001_2,2,health,none,1.03E-10,1.32E-10,1.41E-10,1.30E-10,1.12E-10,9.73E-11,8.83E-11,8.12E-11,7.22E-11,6.08E-11,5.01E-11,4.26E-11,3.79E-11
ctrlcontrolle2119baseligne0-5001_1,1,health,none,5.53E-10,4.72E-10,4.16E-10,3.91E-10,3.83E-10,3.77E-10,3.64E-10,3.36E-10,2.91E-10,2.38E-10,1.88E-10,1.48E-10,1.16E-10
ctrlcontrolle2108baseligne0-5001_4,4,health,none,2.69E-11,3.85E-11,4.88E-11,5.17E-11,4.61E-11,3.63E-11,2.71E-11,2.05E-11,1.65E-11,1.45E-11,1.37E-11,1.34E-11,1.26E-11
ctrlcontrolle2108baseligne0-5001_3,3,health,none,2.91E-11,3.50E-11,3.82E-11,3.84E-11,3.55E-11,3.00E-11,2.37E-11,1.85E-11,1.50E-11,1.31E-11,1.25E-11,1.27E-11,1.24E-11
ctrlcontrolle2108baseligne0-5001_2,2,health,none,2.88E-10,2.33E-10,2.02E-10,1.81E-10,1.73E-10,1.84E-10,2.09E-10,2.39E-10,2.64E-10,2.74E-10,2.52E-10,2.05E-10,1.57E-10
ctrlcontrolle2108baseligne0-5001_1,1,health,none,3.04E-11,4.06E-11,4.71E-11,4.69E-11,4.07E-11,3.15E-11,2.29E-11,1.72E-11,1.41E-11,1.28E-11,1.29E-11,1.35E-11,1.32E-11
ctrlcontrolle2107baseligne0-5001_4,4,health,none,1.34E-10,2.04E-10,2.90E-10,3.58E-10,3.91E-10,4.03E-10,4.02E-10,3.81E-10,3.38E-10,2.88E-10,2.50E-10,2.30E-10,2.16E-10
ctrlcontrolle2107baseligne0-5001_3,3,health,none,9.49E-11,1.44E-10,2.46E-10,3.93E-10,5.26E-10,5.76E-10,5.27E-10,4.28E-10,3.36E-10,2.72E-10,2.34E-10,2.11E-10,1.97E-10
ctrlcontrolle2107baseligne0-5001_2,2,health,none,1.31E-10,2.02E-10,2.90E-10,3.61E-10,3.95E-10,4.05E-10,4.00E-10,3.76E-10,3.31E-10,2.83E-10,2.48E-10,2.30E-10,2.17E-10
ctrlcontrolle2107baseligne0-5001_1,1,health,none,8.92E-11,1.38E-10,2.38E-10,3.81E-10,5.07E-10,5.51E-10,5.05E-10,4.17E-10,3.33E-10,2.70E-10,2.29E-10,2.04E-10,1.88E-10
ctrlcontrolle_2121_lignedebase_0_500hz1_1,1,health,none,2.91E-08,2.94E-08,2.90E-08,2.81E-08,2.67E-08,2.49E-08,2.32E-08,2.17E-08,2.04E-08,1.92E-08,1.81E-08,1.69E-08,1.58E-08
ctrlcontrolle_2102_lignedebase_0_500hz1_4,4,health,none,1.68E-10,1.52E-10,1.42E-10,1.38E-10,1.35E-10,1.27E-10,1.13E-10,9.66E-11,8.07E-11,6.90E-11,6.19E-11,5.67E-11,5.19E-11
ctrlcontrolle_2102_lignedebase_0_500hz1_3,3,health,none,2.96E-10,2.66E-10,2.30E-10,1.98E-10,1.75E-10,1.61E-10,1.55E-10,1.47E-10,1.32E-10,1.10E-10,8.79E-11,6.97E-11,5.76E-11
ctrlcontrolle_2102_lignedebase_0_500hz1_2,2,health,none,1.14E-10,1.03E-10,1.00E-10,1.02E-10,1.01E-10,9.22E-11,8.05E-11,6.91E-11,5.90E-11,5.06E-11,4.44E-11,4.04E-11,3.86E-11
ctrlcontrolle_2102_lignedebase_0_500hz1_1,1,health,none,2.29E-10,2.07E-10,1.74E-10,1.43E-10,1.25E-10,1.18E-10,1.17E-10,1.15E-10,1.05E-10,8.88E-11,7.16E-11,5.77E-11,4.82E-11
ctrlcontrolle2120baseligne0-5001_4,4,health,none,7.89E-11,8.42E-11,8.70E-11,9.34E-11,1.08E-10,1.29E-10,1.50E-10,1.63E-10,1.60E-10,1.40E-10,1.11E-10,8.45E-11,6.45E-11
ctrlcontrolle2120baseligne0-5001_3,3,health,none,2.66E-09,2.12E-09,1.70E-09,1.37E-09,1.15E-09,9.93E-10,8.71E-10,7.64E-10,6.64E-10,5.63E-10,4.61E-10,3.67E-10,2.90E-10
