patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1obb1c_1,1,disorder,none,3.55E-05,4.59E-05,5.28E-05,5.56E-05,5.91E-05,6.76E-05,7.95E-05,9.45E-05,0.000120607,0.000163451,0.000210719,0.000240854,0.000245653
ch1obb1b_1,1,disorder,none,2.94E-05,4.80E-05,7.90E-05,0.000111758,0.000132011,0.000138662,0.000142385,0.000151028,0.000165435,0.000185106,0.000213666,0.000256627,0.000304802
ch1obb1a_1,1,disorder,none,3.12E-05,4.29E-05,5.24E-05,6.22E-05,7.49E-05,9.17E-05,0.000115007,0.000147778,0.000189697,0.000240426,0.000297216,0.000346151,0.000373255
ch1lean3d_1,1,health,none,0.000707204,0.000664597,0.000668813,0.000734737,0.00083856,0.00093939,0.000999406,0.001011378,0.001012728,0.001035913,0.001048936,0.00100235,0.000906561
ch1lean3c_1,1,health,none,0.001392568,0.001471994,0.001623959,0.001752271,0.001719743,0.00149879,0.001201066,0.000947363,0.000782358,0.000708272,0.000718612,0.000789359,0.000870975
ch1lean3b_1,1,health,none,0.000373565,0.000359183,0.000424184,0.000565769,0.000700476,0.000762251,0.000775253,0.000775372,0.000756066,0.000731233,0.000758611,0.000850828,0.000942181
ch1lean3a_1,1,health,none,0.000683619,0.00060844,0.000599772,0.000657666,0.000751233,0.000849307,0.000956854,0.001092302,0.00122072,0.001255807,0.00114701,0.000945373,0.000763591
ch1lean2d_1,1,health,none,6.99E-05,0.000102177,0.000131528,0.000145467,0.000143746,0.00013927,0.000140445,0.000145,0.000151771,0.000166082,0.000188294,0.000211247,0.000233353
ch1lean2c_1,1,health,none,5.65E-05,9.20E-05,0.000137592,0.000183569,0.000224496,0.000260108,0.000281799,0.00027516,0.000243346,0.000209538,0.000193952,0.000204813,0.000243692
ch1lean2b_1,1,health,none,4.72E-05,7.95E-05,0.000130689,0.000193815,0.000249987,0.000284643,0.000298196,0.000298744,0.000292093,0.000282138,0.000274433,0.000273879,0.000279515
ch1lean2a_1,1,health,none,3.58E-05,5.45E-05,8.52E-05,0.000131472,0.000190303,0.000253967,0.000313193,0.000358874,0.000390981,0.000417011,0.000433577,0.000428078,0.000404458
