patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch1stziii2c_1,1,week8,none,2.45E-06,2.08E-06,1.76E-06,2.09E-06,2.99E-06,4.03E-06,5.03E-06,5.73E-06,5.65E-06,4.80E-06,3.85E-06,3.51E-06,4.01E-06,5.34E-06,7.58E-06,1.13E-05,1.74E-05,2.60E-05,3.60E-05,4.47E-05,4.96E-05,5.19E-05,5.76E-05,7.03E-05,8.37E-05,8.84E-05,8.75E-05,9.62E-05,0.000132229,0.000201652,0.000296316,0.000408331,0.00053682,0.000678159,0.000810137,0.000893979,0.000938336,0.001044167,0.001303403,0.00166587,0.001949302,0.00199148,0.001789834,0.00146537,0.001137261,0.000871795,0.000695088,0.000603525,0.000571581,0.000574496,0.000599213,0.000636619,0.000678548,0.000724176,0.000776516,0.000826739,0.00085413,0.000841042,0.000786939,0.000712603,0.00064227,0.000585663,0.000544145,0.000515621,0.000492928,0.000477229,0.000485774,0.000534159,0.000612892,0.000690128,0.000736549,0.000739018,0.000700006,0.000631966,0.000550369,0.000467434,0.000389612,0.000319627,0.000258683,0.000206959,0.000163839,0.000129006,0.00010264,8.39E-05,7.07E-05,6.07E-05,5.22E-05
ch1stziii2a_1,1,week8,none,0.013426759,0.015861409,0.018549352,0.021451641,0.024494516,0.027522774,0.03027798,0.032364233,0.033269051,0.032485891,0.029662694,0.024841362,0.018905301,0.014143752,0.014648378,0.026097099,0.05442229,0.102887733,0.168187657,0.238183141,0.293987387,0.316761992,0.296862972,0.241575488,0.17648641,0.134521742,0.133537302,0.160096887,0.180390141,0.170558275,0.134325914,0.092924769,0.063206934,0.047079007,0.037569132,0.029206309,0.022095984,0.018766585,0.019251345,0.02111143,0.022590902,0.022847748,0.021334142,0.018506008,0.015633363,0.013728918,0.012739102,0.011757442,0.010128919,0.008184534,0.006793665,0.006345534,0.006400136,0.006329066,0.005902642,0.005214938,0.004464794,0.003814733,0.003266971,0.002738951,0.002225801,0.001780383,0.00143404,0.001194473,0.001052727,0.000979483,0.000938987,0.000912355,0.000896606,0.000886325,0.000867411,0.00082573,0.000760281,0.000682479,0.000603123,0.000526929,0.000456368,0.000392747,0.000333857,0.00027628,0.000220736,0.000172279,0.000134898,0.000108004,8.83E-05,7.33E-05,6.13E-05
ch1stziii1c_1,1,week8,none,1.68E-06,1.63E-06,1.48E-06,1.56E-06,1.84E-06,1.95E-06,1.79E-06,1.63E-06,1.74E-06,2.07E-06,2.60E-06,3.54E-06,5.13E-06,7.11E-06,8.93E-06,1.09E-05,1.36E-05,1.79E-05,2.49E-05,3.58E-05,5.00E-05,6.50E-05,7.91E-05,9.37E-05,0.000115926,0.000153555,0.000205962,0.000272283,0.000361926,0.000477301,0.000612729,0.000782062,0.000985286,0.001137077,0.001141159,0.001027354,0.00091455,0.000876104,0.00090517,0.000967382,0.001037084,0.001092976,0.001108746,0.001078772,0.001039332,0.00102737,0.001049651,0.001106755,0.001184263,0.001242539,0.001263174,0.001251435,0.001200959,0.001118453,0.001043502,0.001002333,0.000984699,0.000980217,0.000985708,0.000986051,0.000975242,0.000972164,0.000999173,0.001065917,0.001155845,0.00122701,0.001252762,0.00124779,0.001240582,0.001242143,0.00124218,0.001218988,0.001154245,0.001044725,0.000904033,0.00075587,0.000622084,0.000511981,0.000422844,0.000349467,0.000290124,0.000244267,0.000209238,0.000181052,0.000156602,0.000134126,0.000112575
ch1stziii1b_1,1,week8,none,2.37E-06,2.67E-06,2.88E-06,3.12E-06,3.84E-06,4.84E-06,5.29E-06,4.96E-06,4.66E-06,5.53E-06,7.86E-06,1.07E-05,1.29E-05,1.44E-05,1.56E-05,1.69E-05,1.78E-05,1.78E-05,1.83E-05,2.24E-05,3.29E-05,4.87E-05,6.38E-05,7.46E-05,8.63E-05,0.000108916,0.000149676,0.000213773,0.000300623,0.000401948,0.000505457,0.000608832,0.000743234,0.000933861,0.001122892,0.001204494,0.001163238,0.001093488,0.00106147,0.00106105,0.001114428,0.001262395,0.001443515,0.001529467,0.001472063,0.001328973,0.001185211,0.001097167,0.001076079,0.001112593,0.001198995,0.001294967,0.001333229,0.001292471,0.001207144,0.001122251,0.001078413,0.001087551,0.001113077,0.001114999,0.001088465,0.001052391,0.001032304,0.001049336,0.001110165,0.001197918,0.001283137,0.001352426,0.00140978,0.001451312,0.001454735,0.001396955,0.001274935,0.001108265,0.000930959,0.000773046,0.000642048,0.000530489,0.0004341,0.000354349,0.000292447,0.00024676,0.000213226,0.000187069,0.000165059,0.000145135,0.000124889
ch1stziii1a_1,1,week8,none,9.70E-06,9.38E-06,8.08E-06,7.46E-06,8.98E-06,1.42E-05,2.42E-05,3.62E-05,4.39E-05,4.43E-05,4.30E-05,5.21E-05,7.83E-05,0.000110334,0.000130819,0.000138337,0.000144149,0.000152234,0.000160617,0.000173922,0.000202349,0.000259735,0.000355912,0.000479717,0.000615452,0.000764279,0.000927317,0.001084467,0.001196411,0.001237273,0.00125062,0.001336744,0.001525491,0.001730245,0.001856289,0.001881478,0.001848832,0.001827411,0.001860486,0.001939324,0.002028931,0.002090335,0.002103106,0.002085287,0.002065556,0.002060691,0.002082104,0.002122042,0.002151045,0.00214006,0.002070181,0.001953986,0.0018395,0.001758498,0.001710509,0.001694422,0.001693032,0.001661397,0.001582719,0.001489575,0.001410778,0.001340462,0.001271164,0.001221785,0.001217428,0.001258381,0.001317759,0.001371324,0.001416216,0.001447474,0.001441471,0.001384363,0.001287459,0.001163189,0.001017652,0.000861274,0.000706354,0.000565635,0.000452575,0.000372819,0.000320581,0.000285207,0.00025736,0.000230294,0.000200861,0.00017011,0.000140095
ch1stzii4d_1,1,week6,none,6.83E-06,1.04E-05,1.23E-05,1.20E-05,1.14E-05,1.18E-05,1.26E-05,1.25E-05,1.12E-05,9.64E-06,8.51E-06,8.26E-06,9.51E-06,1.26E-05,1.63E-05,1.93E-05,2.11E-05,2.19E-05,2.12E-05,1.94E-05,1.80E-05,1.86E-05,2.34E-05,3.37E-05,4.96E-05,7.03E-05,9.61E-05,0.000129105,0.00016902,0.000214352,0.000274195,0.000370923,0.000502263,0.000611605,0.000657326,0.000687169,0.000779356,0.000933344,0.001071045,0.001114062,0.001035368,0.000881919,0.000735828,0.000640379,0.000586876,0.000551516,0.000519312,0.000489344,0.000479757,0.000519103,0.000605116,0.000692722,0.000744801,0.000758179,0.000741777,0.000705653,0.000662719,0.000620782,0.000579643,0.000543044,0.000522691,0.000527111,0.000556175,0.000609104,0.00069494,0.000820181,0.000961402,0.001067624,0.001092275,0.001024437,0.000896272,0.000755074,0.000628817,0.000521062,0.00042912,0.000354912,0.00029751,0.000250049,0.000208382,0.000173355,0.000146267,0.000126954,0.000113786,0.000103811,9.45E-05,8.50E-05,7.53E-05
ch1stzii4c_1,1,week6,none,6.46E-06,5.35E-06,3.65E-06,2.41E-06,1.99E-06,2.16E-06,2.52E-06,2.85E-06,3.38E-06,4.40E-06,5.63E-06,6.31E-06,6.33E-06,6.60E-06,7.95E-06,1.05E-05,1.41E-05,1.76E-05,1.96E-05,2.04E-05,2.25E-05,2.76E-05,3.69E-05,5.05E-05,6.73E-05,8.93E-05,0.000121419,0.000157463,0.000184199,0.000209255,0.00026629,0.000370286,0.000482411,0.000561301,0.000619517,0.000699481,0.000833095,0.001006099,0.001142557,0.001160893,0.001048249,0.000871543,0.000720923,0.000637436,0.000595301,0.000558921,0.000532231,0.000531126,0.000546187,0.000564225,0.000591957,0.00063968,0.000701161,0.000755599,0.000785475,0.000789168,0.000772868,0.000739676,0.000692135,0.000637148,0.000586887,0.000552395,0.000538292,0.000551506,0.00060547,0.000707667,0.000841613,0.000967069,0.001044406,0.001051382,0.000986919,0.000871565,0.000734905,0.000599325,0.000478517,0.000380479,0.000305044,0.000246694,0.000201266,0.000166533,0.000140515,0.000121518,0.000108105,9.86E-05,9.09E-05,8.36E-05,7.56E-05
ch1stzii4b_1,1,week6,none,3.35E-06,3.85E-06,4.16E-06,4.43E-06,4.97E-06,5.57E-06,5.83E-06,6.40E-06,8.67E-06,1.26E-05,1.65E-05,1.93E-05,2.20E-05,2.77E-05,4.05E-05,5.84E-05,7.24E-05,7.53E-05,6.90E-05,6.22E-05,6.17E-05,6.66E-05,7.23E-05,7.78E-05,8.37E-05,9.16E-05,0.000107651,0.000135576,0.000164823,0.000180393,0.000185457,0.000211213,0.00029833,0.000440393,0.000569861,0.000650185,0.000735666,0.000867351,0.000961221,0.000912243,0.000747394,0.000576358,0.000466327,0.000419355,0.000408877,0.000408553,0.000412058,0.000431004,0.00047202,0.000525261,0.000579023,0.000634821,0.000697177,0.000755943,0.000786748,0.000778399,0.000746876,0.000708907,0.000670081,0.000639512,0.000619331,0.000597369,0.000576023,0.000578637,0.000621167,0.000700117,0.000796263,0.000877556,0.000915199,0.000899344,0.000836599,0.000742565,0.000637153,0.000537914,0.000452778,0.000379244,0.000311436,0.000248222,0.000194207,0.000153936,0.000127414,0.000110805,0.000100222,9.37E-05,8.96E-05,8.53E-05,7.88E-05
ch1stzii4a_1,1,week6,none,6.44E-06,9.59E-06,1.23E-05,1.31E-05,1.13E-05,8.20E-06,5.73E-06,4.88E-06,5.08E-06,5.25E-06,5.22E-06,5.85E-06,8.19E-06,1.21E-05,1.55E-05,1.72E-05,1.90E-05,2.28E-05,2.80E-05,3.36E-05,4.15E-05,5.48E-05,7.04E-05,7.97E-05,8.11E-05,8.27E-05,9.21E-05,0.000121571,0.000186097,0.000273271,0.000347457,0.000400466,0.000451838,0.000511321,0.000568266,0.000605152,0.000644426,0.000766485,0.001003361,0.00124726,0.0013476,0.00126268,0.001072985,0.000878659,0.000726689,0.000620685,0.000551218,0.000509154,0.00049032,0.000501721,0.000554823,0.000634366,0.000693366,0.000705674,0.000688929,0.000665266,0.000639059,0.000611749,0.000587901,0.00056538,0.000540578,0.000520766,0.000517216,0.000532847,0.000563309,0.000606485,0.000661119,0.000718231,0.000767796,0.000804497,0.000818814,0.000799524,0.000744168,0.000658226,0.000553615,0.00044716,0.000352176,0.00027529,0.000218573,0.000179275,0.000151742,0.000131928,0.000118003,0.000107973,9.94E-05,9.07E-05,8.12E-05
ch1stzii3c_1,1,week6,none,1.72E-06,1.46E-06,1.85E-06,2.93E-06,4.17E-06,4.81E-06,4.60E-06,4.00E-06,3.73E-06,4.18E-06,5.22E-06,6.21E-06,6.49E-06,6.02E-06,5.29E-06,4.83E-06,4.86E-06,5.23E-06,6.08E-06,8.18E-06,1.28E-05,2.07E-05,3.01E-05,3.69E-05,3.83E-05,3.83E-05,4.63E-05,6.70E-05,9.39E-05,0.000115343,0.00012713,0.000134072,0.000141728,0.00015083,0.000161447,0.000179505,0.000220891,0.000304931,0.000430341,0.000549326,0.000596721,0.000567462,0.000525962,0.00052921,0.000571444,0.000607253,0.000614838,0.000621526,0.000669065,0.000760905,0.00084626,0.000879439,0.000874674,0.000862862,0.000842175,0.000807799,0.000778657,0.000771783,0.000780907,0.000791842,0.000801795,0.000814762,0.000833487,0.000857714,0.000884608,0.000919809,0.000974636,0.001040442,0.001084605,0.001081946,0.001034897,0.000956276,0.000853118,0.000733965,0.000612272,0.000499324,0.000402299,0.000324993,0.000266279,0.000221567,0.000186725,0.000159099,0.000136456,0.00011695,9.95E-05,8.36E-05,6.88E-05
