patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1stziii2c_1,1,week8,none,0.00053682,0.000678159,0.000810137,0.000893979,0.000938336,0.001044167,0.001303403,0.00166587,0.001949302,0.00199148,0.001789834,0.00146537,0.001137261
ch1stziii2a_1,1,week8,none,0.063206934,0.047079007,0.037569132,0.029206309,0.022095984,0.018766585,0.019251345,0.02111143,0.022590902,0.022847748,0.021334142,0.018506008,0.015633363
ch1stziii1c_1,1,week8,none,0.000985286,0.001137077,0.001141159,0.001027354,0.00091455,0.000876104,0.00090517,0.000967382,0.001037084,0.001092976,0.001108746,0.001078772,0.001039332
ch1stziii1b_1,1,week8,none,0.000743234,0.000933861,0.001122892,0.001204494,0.001163238,0.001093488,0.00106147,0.00106105,0.001114428,0.001262395,0.001443515,0.001529467,0.001472063
ch1stziii1a_1,1,week8,none,0.001525491,0.001730245,0.001856289,0.001881478,0.001848832,0.001827411,0.001860486,0.001939324,0.002028931,0.002090335,0.002103106,0.002085287,0.002065556
ch1stzii4d_1,1,week6,none,0.000502263,0.000611605,0.000657326,0.000687169,0.000779356,0.000933344,0.001071045,0.001114062,0.001035368,0.000881919,0.000735828,0.000640379,0.000586876
ch1stzii4c_1,1,week6,none,0.000482411,0.000561301,0.000619517,0.000699481,0.000833095,0.001006099,0.001142557,0.001160893,0.001048249,0.000871543,0.000720923,0.000637436,0.000595301
ch1stzii4b_1,1,week6,none,0.00029833,0.000440393,0.000569861,0.000650185,0.000735666,0.000867351,0.000961221,0.000912243,0.000747394,0.000576358,0.000466327,0.000419355,0.000408877
ch1stzii4a_1,1,week6,none,0.000451838,0.000511321,0.000568266,0.000605152,0.000644426,0.000766485,0.001003361,0.00124726,0.0013476,0.00126268,0.001072985,0.000878659,0.000726689
ch1stzii3c_1,1,week6,none,0.000141728,0.00015083,0.000161447,0.000179505,0.000220891,0.000304931,0.000430341,0.000549326,0.000596721,0.000567462,0.000525962,0.00052921,0.000571444
ch1stzii3b_1,1,week6,none,0.000241325,0.000242127,0.000240611,0.00024606,0.000265499,0.000297817,0.000342982,0.000401778,0.000462558,0.000510294,0.000554747,0.000621025,0.000707702
ch1stzii3a_1,1,week6,none,0.000220726,0.000206067,0.000199098,0.000227089,0.00030067,0.000390006,0.000455924,0.000491861,0.000517318,0.000558269,0.000631994,0.000724981,0.000796473
ch1stzii2c_1,1,week6,none,0.002698288,0.001731266,0.001279365,0.001328847,0.001727204,0.002105809,0.002152461,0.001883602,0.001543171,0.001326004,0.001248347,0.001231092,0.001231126
ch1stzii2b_1,1,week6,none,0.000289835,0.000265413,0.000259656,0.000272386,0.000298463,0.000335857,0.000395799,0.000491877,0.000628265,0.000789207,0.00092697,0.001000519,0.001028554
ch1stzii2a_1,1,week6,none,0.000510497,0.000483305,0.000436588,0.00042915,0.000478797,0.000572455,0.000700115,0.000853938,0.001013559,0.001139473,0.001175282,0.001103587,0.000979672
ch1stzii1b_1,1,week6,none,0.000724389,0.000761893,0.000799007,0.000821567,0.000811103,0.000783045,0.000767233,0.00076738,0.000752178,0.000699652,0.000628487,0.000564909,0.000510885
ch1stzii1a_1,1,week6,none,0.000159025,0.000195383,0.000208452,0.000218997,0.000248548,0.000282211,0.00028651,0.000255037,0.000210684,0.000177091,0.000165813,0.000176837,0.000201435
ch1stzi4c_1,1,week4,none,0.000189683,0.000255266,0.000313821,0.000357785,0.000388597,0.000419011,0.000469425,0.000554795,0.000677841,0.000827663,0.00098435,0.001118822,0.001192131
ch1stzi4b_1,1,week4,none,0.000228469,0.000309894,0.000350266,0.000343036,0.000326963,0.000333722,0.000383687,0.000515422,0.00075349,0.001041507,0.001264435,0.001355863,0.001332952
ch1stzi4a_1,1,week4,none,0.000230972,0.000235002,0.000245226,0.000271772,0.00031126,0.000368033,0.000479317,0.000686252,0.00096972,0.001237556,0.001391819,0.001391988,0.001271312
