health.status,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071
disorder,25.3164007,21.75099284,19.36303969,16.81314565,14.46667449,12.55882905,11.07898628,9.960158213,8.939260041,7.99149658,7.453950001,7.88616182,9.876835834,12.95652931,15.20460518,15.23557594,13.73704243,12.17859376,10.98842704,9.711870344,8.220542253,6.943302381,6.201544951,5.854869208,5.627680237,5.387010516,5.006679373,4.375773218,3.582695304,2.879903488,2.45768823,2.303611187,2.277179815,2.274741018,2.288850125,2.336580475,2.418981728,2.564083296,2.814997881,3.158152368,3.476038771,3.581391809,3.378211162,2.964144768,2.516958804,2.144687575,1.870875013,1.689500916,1.583876678,1.524300074,1.482022103,1.441854108,1.407650017,1.403299227,1.44884052,1.52887415,1.60425008,1.650759518,1.676086657,1.712924368,1.792863767,1.918513433,2.080875815,2.338065396,2.833128647,3.552436604,4.157630473,4.358680576,4.236756415,4.044937001,3.930805654
disorder,334.7523065,221.3965593,185.2148669,202.1372763,219.9708733,205.2527144,169.373465,142.5530981,134.6081413,130.1794269,114.160216,87.94100391,61.94025428,42.89307219,30.70588109,22.98692821,18.51849291,17.13749596,18.46426396,21.53494545,25.59809763,29.98673862,32.83195791,32.04159067,27.99576771,23.00560708,18.72527476,15.89659761,15.06411495,15.68610713,15.9003986,14.58928569,12.53506364,11.10053803,10.77387845,11.22745841,12.09838558,12.94520525,12.9376112,11.58021805,9.351663881,7.138240115,5.457838208,4.351920934,3.639158615,3.126804732,2.698227281,2.339813532,2.10192276,1.996765872,1.980140276,2.021476123,2.111015258,2.223591699,2.341104017,2.486541071,2.6879387,2.930272635,3.188668299,3.493837526,3.898716807,4.38158197,4.905148568,5.603478779,6.776289795,8.431770734,9.961541672,10.79051173,11.0498175,11.28433326,11.85729789
disorder,1738.501064,1572.701391,1403.143388,1290.893728,1248.322956,1280.902612,1372.914384,1494.959333,1610.566062,1657.163592,1568.777684,1340.950046,1052.811543,798.6264767,620.0637047,513.1434518,467.5564266,477.4565444,528.6900587,607.200179,694.0006851,757.1615492,782.8341627,773.066797,715.6307853,604.6944986,470.6520275,361.2880206,300.9254955,275.1215351,258.1816426,239.7553183,219.1968046,195.9703745,169.73899,140.6090453,109.2998354,79.42742847,56.35237861,42.67891891,36.46266925,32.91438048,27.992133,21.20929925,14.5309633,9.471742505,6.188205322,4.218136694,3.074950843,2.400334833,1.995147122,1.773876795,1.682685237,1.674533835,1.726241751,1.820940535,1.925234213,2.017309222,2.107563892,2.220577119,2.379722089,2.609323274,2.929775393,3.346487294,3.880313308,4.537584625,5.200356645,5.701796469,6.007703757,6.20294983,6.378036354
disorder,7192.788025,5872.96116,4078.584653,2512.752538,1521.359401,1077.058873,945.8239603,885.6587005,790.688203,692.7982337,648.2657496,651.6377293,655.8059844,632.9038822,585.6966258,532.9072853,504.8689041,510.3394729,509.0583184,461.9592216,383.2211907,310.4036668,261.8174662,243.1728585,256.6121129,287.8596597,306.9921122,292.0808067,250.6484709,211.4238478,191.4371188,182.3165482,169.7208073,150.0726241,128.8127912,114.8716776,113.2980501,116.7847932,112.1992688,95.9765907,74.901803,56.24682062,42.55908087,32.68008071,24.79650435,18.12603642,12.6416569,8.440177008,5.505532082,3.661144064,2.596482251,2.000738558,1.692069716,1.590226463,1.625876736,1.732410757,1.873966147,2.043467107,2.253515128,2.508860379,2.776985398,3.033993981,3.32622467,3.759466088,4.437171016,5.316673001,6.12111781,6.58933267,6.765545122,6.889415591,7.117040267
disorder,2029.842983,2097.747352,2193.229375,2478.069071,2806.061256,2877.505602,2618.320143,2210.735999,1840.825242,1555.661734,1340.098934,1215.153541,1173.603858,1143.897666,1107.156428,1128.293564,1234.18095,1348.976116,1380.681524,1328.814602,1262.358557,1193.91634,1070.776799,894.2104306,733.6201499,639.4726685,598.7396259,568.6423008,535.8952449,516.1429409,512.1790049,502.8213356,466.4561381,404.6912113,335.8245634,274.0795677,225.8555126,192.505032,168.2958486,144.2476148,116.9692746,89.6403133,66.18775502,47.78908205,33.64478307,22.78264168,14.68948214,9.051991247,5.469048142,3.419611195,2.373707421,1.891762306,1.667859808,1.535884321,1.449050568,1.426258417,1.487302824,1.61566118,1.768312103,1.922960481,2.095052071,2.295770449,2.538592963,2.903466615,3.511991752,4.33556423,5.105261115,5.612325528,5.940425458,6.267202885,6.633032866
disorder,36.23488512,43.55441257,50.0856012,52.72106924,50.13685244,42.8239418,33.4198023,25.39728882,20.46483236,18.02392523,16.68653421,15.75239589,15.22279257,14.66993795,13.34261485,11.33884239,9.543760001,8.668649548,8.69003433,8.90700524,8.695535208,8.309005513,8.367486148,8.737759619,8.817457818,8.522466221,8.091865882,7.526861335,6.82975009,6.196525139,5.743936157,5.407308361,5.08006331,4.680069752,4.188830417,3.683271466,3.265389658,2.974840708,2.785445469,2.673681423,2.658057096,2.740939234,2.859768557,2.965414947,3.119541505,3.431571882,3.904083111,4.459390966,5.146725445,6.185653551,7.754263151,9.852874921,12.43206989,15.56249985,19.36286527,23.78732598,28.54489844,33.17253444,37.0647955,39.76873192,41.49100137,42.86319674,44.30285462,46.3577654,50.32768874,56.4973536,62.22135104,64.6971487,64.27569714,63.09404349,62.42078202
disorder,851.9151626,801.9821055,644.3760219,476.5377736,365.5923257,313.9058235,283.4260332,249.0171378,219.2475239,205.7058474,199.788604,186.7706139,161.994644,130.5736882,101.0251646,80.70931853,74.71760608,83.09697226,94.97288567,96.02655919,83.99492406,67.22858471,53.76586819,47.74208498,48.75959588,51.02554602,48.54812454,41.34195205,33.62696076,28.29244817,25.37294634,24.16081459,24.29372576,25.11385344,25.44349803,24.20165316,21.49397896,18.55449483,16.21907824,14.40928845,12.7392509,10.87885417,8.779972839,6.733104825,5.07898636,3.93239352,3.180060493,2.67629143,2.367604052,2.232128607,2.215855524,2.273449404,2.403356671,2.606024407,2.850905317,3.097761582,3.327688049,3.568620881,3.866917028,4.212055893,4.560532476,4.916444954,5.302680842,5.688163825,5.986296337,6.11718024,6.077222424,5.933110105,5.750969743,5.561601959,5.384139657
disorder,319.8799674,287.3145155,276.3400379,291.8392251,310.3205149,302.1072704,268.6325629,234.8958376,213.0693586,201.5229012,199.002826,198.603959,188.9765764,168.1441354,144.6475987,127.2986345,116.588745,106.761304,95.64564717,86.8485772,81.82438829,76.37614845,66.91217281,55.54602564,47.1328115,44.06533954,44.76862642,45.66504909,44.51357559,41.85470441,39.00166111,36.35394253,34.26702942,33.27566627,33.02975555,32.54512073,31.27416975,29.26021301,26.7956728,24.22211105,21.6446857,18.92525431,15.98950917,12.96729837,10.11040867,7.656139935,5.723442318,4.293296191,3.292911356,2.672050332,2.390258349,2.390480267,2.584399106,2.823548496,2.965369723,3.010814136,3.072067257,3.216499791,3.443957135,3.736615421,4.071545951,4.459411256,4.958176072,5.640760909,6.564110411,7.60475761,8.40222783,8.789960964,9.053455742,9.532787929,10.20692891
disorder,426.9113525,501.1574665,537.0145868,512.6548473,462.4819117,447.5116713,478.6373642,506.5803864,483.7116619,414.283108,336.4395313,274.4623361,225.9248943,182.6655477,146.1680083,123.499892,114.8930318,110.8804783,102.8583587,89.45937511,73.71337886,61.13385251,57.27940251,62.13578985,69.59333685,73.84213087,73.49527941,69.74844955,63.74639599,57.13475714,52.6724327,51.71417792,52.86327522,53.73342972,52.57516829,49.18243797,44.95966526,41.45876565,38.72241045,35.54405912,31.25010775,26.29877067,21.32447258,16.63081284,12.45069934,9.039318855,6.526308795,4.856276442,3.866102136,3.405222932,3.352274164,3.538389996,3.778198993,3.976556614,4.155267716,4.390971962,4.728657328,5.166313391,5.698517745,6.343229182,7.107086539,7.90538518,8.610985445,9.239299039,9.995267125,11.03787124,12.17650543,12.98924093,13.29830244,13.32138531,13.3213036
disorder,34.72824793,42.57277392,51.6182034,55.86536577,55.47578991,53.26711406,49.28775688,43.11359575,36.83279369,32.83476802,30.75736822,28.69276218,25.96197334,23.37563381,21.47689909,19.96327992,18.61619456,17.32738965,15.82121131,14.52510334,14.63125155,16.10400269,16.92487387,15.52171918,12.53096976,9.454937672,7.040738125,5.322916827,4.179322151,3.481579364,3.058814727,2.74191849,2.466912977,2.263812682,2.153569864,2.119154243,2.139317193,2.208981899,2.31516774,2.426473158,2.520882708,2.549083891,2.438010089,2.201074853,1.949253381,1.785363274,1.741705877,1.80768001,1.97354366,2.244526165,2.625895233,3.109630973,3.717046376,4.544675942,5.694545773,7.067229053,8.275748051,8.910062939,8.901908129,8.582777725,8.395243211,8.616726201,9.281027094,10.17043368,11.00416185,11.69202733,12.24773053,12.62758706,12.81285836,12.8775384,12.85008125
