f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071
25.3164007,21.75099284,19.36303969,16.81314565,14.46667449,12.55882905,11.07898628,9.960158213,8.939260041,7.99149658,7.453950001,7.88616182,9.876835834,12.95652931,15.20460518,15.23557594,13.73704243,12.17859376,10.98842704,9.711870344,8.220542253,6.943302381,6.201544951,5.854869208,5.627680237,5.387010516,5.006679373,4.375773218,3.582695304,2.879903488,2.45768823,2.303611187,2.277179815,2.274741018,2.288850125,2.336580475,2.418981728,2.564083296,2.814997881,3.158152368,3.476038771,3.581391809,3.378211162,2.964144768,2.516958804,2.144687575,1.870875013,1.689500916,1.583876678,1.524300074,1.482022103,1.441854108,1.407650017,1.403299227,1.44884052,1.52887415,1.60425008,1.650759518,1.676086657,1.712924368,1.792863767,1.918513433,2.080875815,2.338065396,2.833128647,3.552436604,4.157630473,4.358680576,4.236756415,4.044937001,3.930805654
100.6203674,96.35338353,85.85282214,76.08783228,72.19386418,70.80214252,65.61774028,56.2691703,46.60872674,38.91461184,33.30012245,29.37625368,26.35442751,23.53810853,21.50941348,21.12803487,21.76169038,22.11065629,22.02173742,21.79988327,20.77407266,18.46390512,15.8448234,13.94863867,12.6339789,11.45557166,10.54534097,10.13807717,9.937439774,9.479525537,8.710601703,7.84086694,7.022807337,6.356838171,5.897717487,5.642180383,5.667264364,6.027191115,6.428828466,6.439786067,5.980836829,5.276377582,4.529037996,3.844096081,3.27428996,2.816603568,2.432535704,2.09790855,1.827417254,1.644376571,1.538041431,1.481288922,1.473277322,1.526404608,1.627081886,1.741678647,1.849870421,1.94653919,2.020146244,2.062205135,2.097235038,2.169096172,2.298652779,2.520136823,2.953059275,3.606833326,4.16307708,4.313368618,4.118048405,3.821373921,3.574328852
334.7523065,221.3965593,185.2148669,202.1372763,219.9708733,205.2527144,169.373465,142.5530981,134.6081413,130.1794269,114.160216,87.94100391,61.94025428,42.89307219,30.70588109,22.98692821,18.51849291,17.13749596,18.46426396,21.53494545,25.59809763,29.98673862,32.83195791,32.04159067,27.99576771,23.00560708,18.72527476,15.89659761,15.06411495,15.68610713,15.9003986,14.58928569,12.53506364,11.10053803,10.77387845,11.22745841,12.09838558,12.94520525,12.9376112,11.58021805,9.351663881,7.138240115,5.457838208,4.351920934,3.639158615,3.126804732,2.698227281,2.339813532,2.10192276,1.996765872,1.980140276,2.021476123,2.111015258,2.223591699,2.341104017,2.486541071,2.6879387,2.930272635,3.188668299,3.493837526,3.898716807,4.38158197,4.905148568,5.603478779,6.776289795,8.431770734,9.961541672,10.79051173,11.0498175,11.28433326,11.85729789
165.9910028,153.9595492,126.8884484,95.73406248,68.65216232,48.60298912,34.7379236,25.80222156,21.92366679,23.37801582,27.75963216,31.01469718,31.50992984,30.26693847,28.75567051,27.99332613,28.11697353,27.91528131,25.85607228,22.08665411,18.36246131,15.91836711,14.47910261,13.15068891,11.42307403,9.431606411,7.631988502,6.346576598,5.570914072,5.087321576,4.699218998,4.349769264,4.052951341,3.823414586,3.693135961,3.694428066,3.783915533,3.873023577,3.953865333,4.067741296,4.169938429,4.159088617,4.023793926,3.832151165,3.596881085,3.306611926,3.017281989,2.78601111,2.612104661,2.477897875,2.37867966,2.329432387,2.369631937,2.543999004,2.869373174,3.301084324,3.752173201,4.198113945,4.712193657,5.324262141,5.949666061,6.557542663,7.26716148,8.265384729,9.720632063,11.54296682,13.24748489,14.50129726,15.50032163,16.5417017,17.79876703
738.2816132,637.7852349,534.0942792,435.4597123,340.4548774,259.9425762,207.8171473,180.9558284,161.0227639,133.9023551,101.7970756,73.57809136,52.87835767,39.02157486,31.05545298,27.95665012,27.6669507,27.49021072,25.4295147,21.37911195,16.97612579,13.8833302,12.50917976,12.14965093,11.74474062,10.76721709,9.558714819,8.728652487,8.406162881,8.290929516,8.217722595,8.172873043,7.967315972,7.409410665,6.622005151,5.912185186,5.44047458,5.139391093,4.920325208,4.790666871,4.728017474,4.642922685,4.509626471,4.383904957,4.309052744,4.27061331,4.19141922,3.976721683,3.619046796,3.23418278,2.959244337,2.846094358,2.877420419,3.024413764,3.257094468,3.577359528,4.049224494,4.721002056,5.552136282,6.438014834,7.255374734,7.981391864,8.752036216,9.74660177,11.15352549,13.01099773,14.96855845,16.64433574,18.06809412,19.52119395,21.21842174
1943.814287,1425.795996,981.4831471,663.6884837,469.3686634,381.947253,363.8142593,360.5197961,346.7664623,342.793901,366.9198301,391.5177165,374.5196121,313.044188,237.3685046,177.3273169,146.1412856,136.6255719,130.4651979,119.6898836,113.4429214,121.2556509,137.6467826,148.5367317,147.8204823,139.0174932,125.702976,109.2079888,92.64245391,80.29190022,73.41342913,69.83519482,66.7766589,62.54936883,57.42520656,53.66477918,53.41217203,55.69641381,56.87045788,54.77521415,50.34521052,45.15008145,39.31658744,32.13739216,23.85823011,15.91771305,9.651870309,5.484195607,3.108257817,1.952858752,1.487957603,1.347065991,1.329254317,1.341751989,1.35890638,1.396652289,1.475394809,1.591546316,1.725860793,1.872531788,2.046157547,2.267303574,2.546955082,2.883286746,3.269935259,3.689894548,4.10679101,4.474848603,4.753687916,4.938541391,5.069582305
1738.501064,1572.701391,1403.143388,1290.893728,1248.322956,1280.902612,1372.914384,1494.959333,1610.566062,1657.163592,1568.777684,1340.950046,1052.811543,798.6264767,620.0637047,513.1434518,467.5564266,477.4565444,528.6900587,607.200179,694.0006851,757.1615492,782.8341627,773.066797,715.6307853,604.6944986,470.6520275,361.2880206,300.9254955,275.1215351,258.1816426,239.7553183,219.1968046,195.9703745,169.73899,140.6090453,109.2998354,79.42742847,56.35237861,42.67891891,36.46266925,32.91438048,27.992133,21.20929925,14.5309633,9.471742505,6.188205322,4.218136694,3.074950843,2.400334833,1.995147122,1.773876795,1.682685237,1.674533835,1.726241751,1.820940535,1.925234213,2.017309222,2.107563892,2.220577119,2.379722089,2.609323274,2.929775393,3.346487294,3.880313308,4.537584625,5.200356645,5.701796469,6.007703757,6.20294983,6.378036354
7192.788025,5872.96116,4078.584653,2512.752538,1521.359401,1077.058873,945.8239603,885.6587005,790.688203,692.7982337,648.2657496,651.6377293,655.8059844,632.9038822,585.6966258,532.9072853,504.8689041,510.3394729,509.0583184,461.9592216,383.2211907,310.4036668,261.8174662,243.1728585,256.6121129,287.8596597,306.9921122,292.0808067,250.6484709,211.4238478,191.4371188,182.3165482,169.7208073,150.0726241,128.8127912,114.8716776,113.2980501,116.7847932,112.1992688,95.9765907,74.901803,56.24682062,42.55908087,32.68008071,24.79650435,18.12603642,12.6416569,8.440177008,5.505532082,3.661144064,2.596482251,2.000738558,1.692069716,1.590226463,1.625876736,1.732410757,1.873966147,2.043467107,2.253515128,2.508860379,2.776985398,3.033993981,3.32622467,3.759466088,4.437171016,5.316673001,6.12111781,6.58933267,6.765545122,6.889415591,7.117040267
1712.314511,1475.207976,1206.659343,1098.203314,1183.398589,1299.04419,1265.562782,1081.066123,893.6491891,802.9802597,759.1048587,674.6330647,546.2629593,429.5072759,365.9399267,353.2538,359.0577887,363.1137089,376.2942931,401.17571,409.9728335,386.0307399,345.3824458,308.2252869,280.4722506,259.845868,239.7799593,213.5346578,182.0916987,154.0147996,135.6880655,125.1513575,116.6301076,106.8377151,95.74980475,84.59397313,74.28904259,64.19449256,52.83181117,40.37082729,28.91506694,20.40656161,15.08743537,11.75669315,9.116445812,6.680529997,4.584556474,3.030043661,2.039800217,1.490668087,1.218103335,1.097249804,1.069059452,1.115140907,1.217377,1.348951065,1.488910171,1.623117831,1.741526075,1.839316333,1.925221794,2.043417934,2.255431838,2.608636467,3.155087503,3.882953763,4.608205809,5.133933973,5.474187498,5.76832071,6.069219933
2029.842983,2097.747352,2193.229375,2478.069071,2806.061256,2877.505602,2618.320143,2210.735999,1840.825242,1555.661734,1340.098934,1215.153541,1173.603858,1143.897666,1107.156428,1128.293564,1234.18095,1348.976116,1380.681524,1328.814602,1262.358557,1193.91634,1070.776799,894.2104306,733.6201499,639.4726685,598.7396259,568.6423008,535.8952449,516.1429409,512.1790049,502.8213356,466.4561381,404.6912113,335.8245634,274.0795677,225.8555126,192.505032,168.2958486,144.2476148,116.9692746,89.6403133,66.18775502,47.78908205,33.64478307,22.78264168,14.68948214,9.051991247,5.469048142,3.419611195,2.373707421,1.891762306,1.667859808,1.535884321,1.449050568,1.426258417,1.487302824,1.61566118,1.768312103,1.922960481,2.095052071,2.295770449,2.538592963,2.903466615,3.511991752,4.33556423,5.105261115,5.612325528,5.940425458,6.267202885,6.633032866
