patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
c57bl6jctrl6foto_2,2,health,none,0.000129821,0.00015883,0.000189036,0.000218651,0.000249375,0.000280629,0.000308009,0.000330845,0.000350634,0.000374699,0.000435343,0.000556548,0.000700302,0.000831048,0.001003307,0.001284287,0.001680537,0.002207364,0.002848769,0.003484361,0.004053018,0.004593492,0.005110803,0.005639416,0.00656712,0.00845571,0.0108913,0.012526638,0.013083106,0.013963503,0.016242238,0.019640114,0.024536569,0.032772145,0.045644726,0.062288791,0.081038261,0.104950476,0.143819893,0.206629154,0.286746929,0.354706893,0.379118314,0.358426036,0.323118809,0.305058796,0.308726361,0.312747835,0.29674899,0.260572486,0.216863627,0.175783162,0.14210323,0.118402903,0.105449325,0.102173868,0.104400241,0.103643396,0.0934215,0.075850852,0.058595129,0.04777126,0.043746957,0.042422387,0.041384726,0.042064365,0.043955118,0.042717642,0.036592587,0.028839186,0.022969118,0.019487709,0.017193271,0.015221806,0.013494648,0.01216358,0.01114081,0.01017035,0.009150721,0.008270002,0.007811638,0.007770942,0.007832389,0.007971926,0.008638495,0.009724547,0.010251054
c57bl6jctrl6foto_1,1,health,none,0.000201983,0.000224381,0.000228702,0.000229093,0.000231804,0.000230879,0.000235889,0.000264847,0.000304375,0.000326514,0.000334461,0.000347918,0.000362204,0.000382676,0.000501808,0.000833473,0.001300901,0.001672654,0.001909526,0.002199782,0.002615157,0.003070933,0.003553453,0.004128844,0.005016423,0.006631396,0.008908645,0.011130432,0.012948706,0.01457555,0.016445738,0.020327873,0.029377137,0.045448758,0.067623055,0.095273134,0.129396909,0.168761527,0.208771356,0.239681189,0.249369061,0.237132695,0.216951533,0.202734996,0.2030875,0.246442257,0.376081186,0.553553876,0.64364943,0.576365135,0.420273733,0.274812569,0.179423592,0.123863446,0.090151556,0.071496802,0.067849618,0.073808593,0.076743124,0.069218738,0.055668684,0.045657731,0.044826681,0.050039219,0.053797527,0.053795483,0.052360638,0.049637301,0.044296593,0.03777624,0.032732459,0.029432532,0.026627932,0.023729437,0.020853574,0.018163482,0.015599893,0.013120044,0.010975995,0.00953466,0.008922926,0.00882792,0.00872631,0.008625481,0.00917123,0.010382223,0.011185116
c57bl6jctrl5_2,2,health,none,7.84E-05,9.55E-05,0.000106044,0.000106395,0.000103476,0.000109625,0.000131075,0.000159836,0.000181002,0.000195441,0.000231881,0.000326925,0.000495598,0.000725461,0.000961339,0.001092077,0.001071951,0.001034066,0.00113846,0.001424753,0.00189613,0.002580958,0.003515744,0.00478981,0.006607708,0.008973853,0.011105215,0.012137322,0.013148051,0.016993272,0.024496423,0.032748077,0.039327699,0.046617499,0.062582671,0.098966502,0.169394176,0.289203097,0.454101778,0.603973047,0.658226891,0.59625068,0.466244481,0.335189635,0.244376395,0.197275956,0.181391543,0.188029947,0.20567103,0.214496316,0.20312705,0.181069903,0.168796663,0.177345909,0.194133177,0.196077575,0.176451009,0.14796468,0.12476387,0.11037117,0.101329823,0.095104914,0.091640468,0.09073192,0.090094254,0.086980057,0.081118258,0.074547486,0.069262921,0.065784433,0.063223359,0.059939464,0.054807644,0.048264068,0.041863885,0.036876979,0.033380512,0.030647258,0.028128984,0.025773404,0.023558539,0.021328484,0.019074535,0.016941212,0.015076937,0.013585218,0.012457624
c57bl6jctrl5_1,1,health,none,7.99E-05,7.04E-05,6.06E-05,5.58E-05,5.70E-05,6.82E-05,0.000104953,0.000174803,0.000254002,0.000309322,0.000336362,0.000357441,0.0004079,0.000523085,0.000702142,0.000905863,0.001111953,0.001373375,0.0017491,0.002199094,0.002688131,0.003298987,0.00418509,0.005397004,0.006833396,0.008463097,0.010216826,0.012178986,0.015591103,0.022148642,0.03175727,0.043380372,0.057084848,0.072334865,0.088940567,0.115366679,0.177114863,0.305343762,0.485715927,0.635242662,0.679856104,0.622016517,0.511721366,0.398891423,0.312812878,0.257031986,0.223823939,0.212897918,0.224325135,0.241552272,0.243606215,0.228304924,0.215253272,0.224711994,0.247818918,0.254370084,0.233542093,0.203796672,0.184003805,0.171750588,0.154607847,0.129898848,0.105566464,0.090038619,0.08506506,0.08572105,0.086416219,0.085105337,0.082057726,0.077874435,0.07311933,0.068167971,0.063219402,0.058463426,0.053857435,0.04926469,0.044910209,0.041017304,0.037339125,0.03359115,0.029863382,0.026404778,0.023418812,0.021024735,0.019160382,0.017626048,0.016286292
c57bl6jctrl5foto_2,2,health,none,0.000138647,0.000178337,0.000199694,0.000189444,0.000160485,0.000136543,0.000132807,0.0001527,0.000197749,0.000269587,0.000365109,0.000493403,0.000698155,0.001002325,0.00131971,0.001507358,0.00152727,0.001505057,0.001570042,0.001732139,0.002008588,0.002516828,0.003321083,0.004275829,0.005147752,0.005941013,0.006944857,0.008332515,0.010262831,0.013110257,0.017078639,0.022434547,0.03198783,0.054067725,0.100144868,0.17968161,0.287457534,0.387503417,0.435265822,0.419083515,0.360725468,0.288591388,0.221846453,0.170823157,0.140733531,0.130732104,0.134985504,0.150748231,0.176257476,0.195074262,0.186963389,0.155235592,0.121061425,0.098398903,0.086181752,0.077708131,0.069517334,0.062026859,0.056516366,0.054598867,0.059608663,0.071821294,0.081980834,0.080279807,0.068468263,0.054984908,0.044868517,0.038447452,0.034491019,0.031752129,0.029377325,0.027039749,0.024548535,0.021696199,0.018601433,0.015698925,0.013326235,0.011576231,0.010421808,0.009801319,0.009625714,0.009759423,0.009911714,0.009649562,0.008755702,0.007458706,0.006206191
c57bl6jctrl5foto_1,1,health,none,0.000117886,0.000108411,0.000114395,0.000155011,0.000228403,0.000289083,0.000297099,0.000270209,0.000259194,0.000298459,0.000375711,0.000437957,0.000450015,0.000436366,0.000460231,0.000577995,0.000825054,0.001191531,0.001529187,0.001670744,0.001688304,0.001719409,0.001730907,0.001797587,0.002353871,0.003862314,0.006139671,0.008434608,0.010477974,0.012848227,0.017088162,0.026149103,0.042292096,0.065181225,0.099579131,0.166851646,0.286114089,0.427427528,0.521021372,0.528533038,0.469753802,0.385291693,0.30194694,0.231873182,0.184010333,0.162869407,0.16187921,0.16781764,0.170509124,0.163734046,0.145955432,0.122830958,0.101976129,0.086479861,0.074774942,0.064409297,0.05490174,0.048075772,0.046315605,0.052054002,0.067643699,0.087439469,0.09652644,0.087824039,0.069407774,0.052519477,0.041993727,0.036887862,0.034570647,0.033263581,0.032114371,0.0303399,0.027311827,0.023244549,0.019067442,0.015629775,0.013251651,0.011801461,0.010959693,0.010489075,0.010264218,0.01007147,0.009607448,0.008734648,0.007631361,0.006611021,0.005841295
c57bl6jctrl4_2,2,health,none,0.005475425,0.011920675,0.021003942,0.027301023,0.029349219,0.029246082,0.027813584,0.024693149,0.020466995,0.017555053,0.018833001,0.024830233,0.035005212,0.048988311,0.061890733,0.066334595,0.061051475,0.050776785,0.040763933,0.035347665,0.037075091,0.043495349,0.048960189,0.050597875,0.04939676,0.04806976,0.049284746,0.053939105,0.061555444,0.072585755,0.086965682,0.100573371,0.110969815,0.129737966,0.182388152,0.295154824,0.471648954,0.658413513,0.756310679,0.713550319,0.580838815,0.444794003,0.347017187,0.280490394,0.228549652,0.18704658,0.173457843,0.292160783,0.796620512,1.760747695,2.633528735,2.748518993,2.139923269,1.344294613,0.752034211,0.423335412,0.26570515,0.194099868,0.171440341,0.180211478,0.192074659,0.182444777,0.154117318,0.125055346,0.106809734,0.09994652,0.099417342,0.100141236,0.099404701,0.096004334,0.089311382,0.079791038,0.06912601,0.059080306,0.050500182,0.043462263,0.037816864,0.033369099,0.029687736,0.026172696,0.0225853,0.019202913,0.016429641,0.014443707,0.013136011,0.012289748,0.011783855
c57bl6jctrl4_1,1,health,none,0.014759531,0.023021146,0.031464488,0.038396268,0.041989048,0.039902706,0.03250388,0.023662422,0.018236925,0.020292437,0.029451885,0.038467175,0.04013927,0.034908558,0.02864432,0.025697048,0.0259136,0.027452898,0.029907193,0.034070375,0.040292635,0.046958059,0.051087488,0.05179674,0.051126479,0.05046433,0.050076595,0.051924349,0.058618947,0.071624445,0.092075286,0.119700258,0.152615875,0.193091032,0.255211978,0.354979665,0.486081659,0.617922694,0.711227341,0.732032501,0.675832827,0.577273456,0.480166774,0.403811252,0.340339302,0.278506512,0.239032133,0.346894977,0.852954301,1.763286212,2.499896143,2.500189599,1.886120942,1.159223244,0.637031818,0.352973424,0.2256346,0.182744757,0.1916718,0.232823917,0.26575474,0.254868841,0.208196087,0.158883239,0.128301066,0.115838238,0.110205105,0.103601726,0.095307843,0.086683633,0.077790252,0.068198727,0.058361918,0.049402605,0.042047827,0.036396498,0.032257265,0.029116454,0.026298805,0.023456427,0.020645869,0.01807536,0.015976462,0.014526439,0.013734723,0.013429725,0.013378931
c57bl6jctrl3_2,2,health,none,0.023091529,0.025114769,0.023805395,0.021505507,0.021018964,0.022624931,0.024879316,0.026443605,0.026678315,0.025152796,0.022686909,0.021487312,0.022694478,0.024832428,0.025200252,0.022633361,0.018734579,0.016444899,0.016811394,0.018545999,0.021232142,0.025616061,0.031285519,0.037679991,0.046783036,0.062990356,0.089921767,0.123503126,0.151091809,0.166837948,0.18122108,0.210981282,0.25976385,0.308348162,0.33839461,0.356613849,0.387878965,0.451834583,0.532513598,0.590224411,0.612239889,0.607520995,0.576769703,0.530283449,0.486776486,0.44348552,0.398506422,0.412059266,0.591365081,0.904026057,1.102252121,1.013601044,0.734393359,0.453943028,0.265111368,0.16264347,0.11265348,0.090201237,0.083124064,0.083440743,0.082202311,0.075074288,0.065507566,0.05857208,0.056084109,0.056305326,0.05604437,0.05443367,0.05308579,0.05273659,0.052271239,0.050435193,0.046936533,0.042298842,0.037234902,0.032189533,0.027447705,0.023278298,0.019864594,0.017238561,0.015260353,0.013737306,0.012563253,0.011668737,0.0109217,0.01017787,0.009412186
c57bl6jctrl3_1,1,health,none,0.057246762,0.051783248,0.058808961,0.068669566,0.067316582,0.053860393,0.038115882,0.026771035,0.020061347,0.017856494,0.021044703,0.027352142,0.031707704,0.03180484,0.02991953,0.028794924,0.029536081,0.033597375,0.040463154,0.045670058,0.047406312,0.049721386,0.055621187,0.062600265,0.06814657,0.075669728,0.09004999,0.113861176,0.152242034,0.203311236,0.247006187,0.265054765,0.25827033,0.238318612,0.226923733,0.257430244,0.343743797,0.452905345,0.54652813,0.625907394,0.69956945,0.741572185,0.720379625,0.652515465,0.584589923,0.529572521,0.472710832,0.447225243,0.562168593,0.850505099,1.106729457,1.094512255,0.837304416,0.529646362,0.305249378,0.181595815,0.124307411,0.099378707,0.089289413,0.087507611,0.087364204,0.083009533,0.074888284,0.06689221,0.062199382,0.061451877,0.062268687,0.062185403,0.061085334,0.059981636,0.058914349,0.056629473,0.052275202,0.046444758,0.040333988,0.034661483,0.029492967,0.024785608,0.020780395,0.017732052,0.015535688,0.013858427,0.012479846,0.011333495,0.010404823,0.009694249,0.009153479
