patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
c57bl6jctrl6foto_2,2,health,none,0.024536569,0.032772145,0.045644726,0.062288791,0.081038261,0.104950476,0.143819893,0.206629154,0.286746929,0.354706893,0.379118314,0.358426036,0.323118809
c57bl6jctrl6foto_1,1,health,none,0.029377137,0.045448758,0.067623055,0.095273134,0.129396909,0.168761527,0.208771356,0.239681189,0.249369061,0.237132695,0.216951533,0.202734996,0.2030875
c57bl6jctrl5_2,2,health,none,0.039327699,0.046617499,0.062582671,0.098966502,0.169394176,0.289203097,0.454101778,0.603973047,0.658226891,0.59625068,0.466244481,0.335189635,0.244376395
c57bl6jctrl5_1,1,health,none,0.057084848,0.072334865,0.088940567,0.115366679,0.177114863,0.305343762,0.485715927,0.635242662,0.679856104,0.622016517,0.511721366,0.398891423,0.312812878
c57bl6jctrl5foto_2,2,health,none,0.03198783,0.054067725,0.100144868,0.17968161,0.287457534,0.387503417,0.435265822,0.419083515,0.360725468,0.288591388,0.221846453,0.170823157,0.140733531
c57bl6jctrl5foto_1,1,health,none,0.042292096,0.065181225,0.099579131,0.166851646,0.286114089,0.427427528,0.521021372,0.528533038,0.469753802,0.385291693,0.30194694,0.231873182,0.184010333
c57bl6jctrl4_2,2,health,none,0.110969815,0.129737966,0.182388152,0.295154824,0.471648954,0.658413513,0.756310679,0.713550319,0.580838815,0.444794003,0.347017187,0.280490394,0.228549652
c57bl6jctrl4_1,1,health,none,0.152615875,0.193091032,0.255211978,0.354979665,0.486081659,0.617922694,0.711227341,0.732032501,0.675832827,0.577273456,0.480166774,0.403811252,0.340339302
c57bl6jctrl3_2,2,health,none,0.25976385,0.308348162,0.33839461,0.356613849,0.387878965,0.451834583,0.532513598,0.590224411,0.612239889,0.607520995,0.576769703,0.530283449,0.486776486
c57bl6jctrl3_1,1,health,none,0.25827033,0.238318612,0.226923733,0.257430244,0.343743797,0.452905345,0.54652813,0.625907394,0.69956945,0.741572185,0.720379625,0.652515465,0.584589923
c57bl6jctrl3foto_2,2,health,none,0.102813279,0.129826647,0.154713014,0.180767469,0.211615477,0.240162843,0.252454215,0.244847866,0.229495713,0.219642828,0.217651893,0.220321774,0.223712927
c57bl6jctrl3foto_1,1,health,none,0.079110285,0.096451094,0.113546251,0.141091152,0.186469215,0.23862112,0.276183467,0.289575419,0.285466764,0.272187786,0.253195811,0.231515793,0.211891677
c57bl6jctrl2_2,2,health,none,0.127668131,0.171229148,0.237245466,0.34973756,0.505115817,0.663486703,0.782986728,0.828288159,0.776163988,0.65303561,0.522111185,0.421692223,0.352734661
c57bl6jctrl2_1,1,health,none,0.075295534,0.106118257,0.17573184,0.300626338,0.47870026,0.685452233,0.867535151,0.941218692,0.862483169,0.691279133,0.525591826,0.412284147,0.348822659
c57bl6jctrl2foto_2,2,health,none,0.023702581,0.031614517,0.041565699,0.055863283,0.079654715,0.116857192,0.164882835,0.216258203,0.261400788,0.291452759,0.304457566,0.307333241,0.309680586
c57bl6jctrl2foto_1,1,health,none,0.023460851,0.034497864,0.047376004,0.060155628,0.07242857,0.083992666,0.099339428,0.12868053,0.174391954,0.218733684,0.237635895,0.22599291,0.200692008
c57bl6jctrl1_2,2,health,none,0.017934305,0.023260416,0.030688396,0.040511583,0.053654852,0.071102759,0.094130259,0.119798918,0.138721431,0.145859928,0.148341066,0.156245634,0.170846956
c57bl6jctrl1_1,1,health,none,0.015934224,0.020754508,0.031695914,0.049564729,0.072831033,0.101906662,0.135460084,0.161456095,0.166110068,0.151063127,0.13077931,0.118861361,0.120463227
c57bl6jctrl11_2,2,health,none,0.008888812,0.011983497,0.016763386,0.021141203,0.022662267,0.021831796,0.02187048,0.026421427,0.040526477,0.070397768,0.113978487,0.156132028,0.181867741
c57bl6jctrl11_1,1,health,none,0.006203078,0.008187171,0.010852064,0.014115594,0.019108497,0.026297944,0.0341808,0.042100511,0.05252603,0.073308246,0.114309791,0.170542949,0.21748721
c57bl6jctrl10_2,2,health,none,0.070563001,0.089450925,0.117364229,0.16203242,0.216081178,0.257571048,0.269706226,0.251749122,0.215576208,0.17685665,0.146276886,0.129470148,0.143700404
c57bl6jctrl10_1,1,health,none,0.06474039,0.085570333,0.118093245,0.153169284,0.176981723,0.18257634,0.175151776,0.161753573,0.144919609,0.128083246,0.115652151,0.109946027,0.124067347
c57bl6jctrl10foto_2,2,health,none,0.024618007,0.038127368,0.056116917,0.071383989,0.078810727,0.077561401,0.070432239,0.061421363,0.053190809,0.047237451,0.04614983,0.062183912,0.147565714
c57bl6jctrl10foto_1,1,health,none,0.054855912,0.06707708,0.078759187,0.084359106,0.081033603,0.07227962,0.065045671,0.063647282,0.066896388,0.070696599,0.072491338,0.080096715,0.14050589
c57bl6jctrl1foto_2,2,health,none,0.005564475,0.006618439,0.008705188,0.012678502,0.019289612,0.027457071,0.034641756,0.041040986,0.057170223,0.108262944,0.204171454,0.295264494,0.314340258
c57bl6jctrl1foto_1,1,health,none,0.01425951,0.015382101,0.015449674,0.016637533,0.02106219,0.028397708,0.036296453,0.044057744,0.059571353,0.106487789,0.200445671,0.298715245,0.328292647
c57bl6jstz12foto_1,1,disorder,none,0.022551848,0.044409199,0.081283446,0.124326815,0.153060788,0.152680462,0.12780735,0.094855918,0.066486284,0.047051266,0.036516716,0.033066392,0.033450302
c57bl6jstz11_2,2,disorder,none,0.026487507,0.042406784,0.084596287,0.184603875,0.365917212,0.59107872,0.758961761,0.791607432,0.704275583,0.572336564,0.4549352,0.368347204,0.307578153
c57bl6jstz11_1,1,disorder,none,0.064614497,0.09868518,0.164714294,0.281792537,0.453866218,0.654959883,0.817520608,0.86746093,0.797675342,0.664820547,0.52586202,0.418277876,0.359314528
c57bl6jstz11foto_2,2,disorder,none,0.052228333,0.085407284,0.145167469,0.243316352,0.366007211,0.464438972,0.486805108,0.427901749,0.330862,0.23990113,0.172179679,0.127975908,0.104583851
c57bl6jstz11foto_1,1,disorder,none,0.050509698,0.090415594,0.167617192,0.288578922,0.421356198,0.501432103,0.486015544,0.393823926,0.279788988,0.187910279,0.131756563,0.104121158,0.093773843
c57bl6jstz10_2,2,disorder,none,0.018937351,0.022660151,0.026315579,0.034376185,0.055012457,0.104750325,0.209481099,0.390846833,0.629608804,0.837321218,0.913281222,0.835902477,0.668990879
c57bl6jstz10_1,1,disorder,none,0.018074996,0.023717061,0.033845226,0.052062187,0.080900292,0.121334415,0.180580893,0.279209797,0.4327006,0.621391372,0.791726201,0.875301878,0.831220833
c57bl6jstz10foto_2,2,disorder,none,0.024622717,0.038073872,0.068231658,0.136983723,0.261429931,0.413536462,0.522135549,0.535756259,0.463351277,0.351898147,0.246815302,0.171148623,0.126293913
